"","sub","item","cond","nstarted","ncompleted","nboundary","problem","flags_equal"
"170",3,80,2,12,12,12,"no","yes"
"171",3,51,5,13,13,13,"no","yes"
"172",3,48,2,16,16,16,"no","yes"
"173",3,57,3,15,15,16,"no","yes"
"174",3,60,6,15,15,15,"no","yes"
"175",3,67,5,15,15,15,"no","yes"
"176",3,18,4,10,10,11,"no","yes"
"177",3,20,6,11,11,14,"no","yes"
"178",3,26,4,14,14,15,"no","yes"
"179",3,2,4,15,15,15,"no","yes"
"180",3,14,8,15,15,15,"no","yes"
"181",3,37,7,17,17,17,"no","yes"
"182",3,71,1,13,13,14,"no","yes"
"183",3,31,1,15,15,15,"no","yes"
"184",3,39,1,15,15,15,"no","yes"
"185",3,66,4,15,15,16,"no","yes"
"186",3,6,8,13,13,13,"no","yes"
"187",3,75,5,13,13,13,"no","yes"
"188",3,47,1,13,13,13,"no","yes"
"189",3,73,3,15,15,16,"no","yes"
"190",3,4,6,16,16,16,"no","yes"
"191",3,68,6,13,13,13,"no","yes"
"192",3,72,2,15,15,15,"no","yes"
"193",3,24,2,12,12,13,"no","yes"
"194",3,49,3,12,12,12,"no","yes"
"195",3,27,5,14,14,14,"no","yes"
"196",3,55,1,15,15,15,"no","yes"
"197",3,30,8,11,11,11,"no","yes"
"198",3,22,8,14,14,15,"no","yes"
"199",3,16,2,16,16,17,"no","yes"
"200",3,28,6,13,13,13,"no","yes"
"201",3,42,4,14,14,15,"no","yes"
"202",3,53,7,14,14,14,"no","yes"
"203",3,64,2,12,12,13,"no","yes"
"204",3,59,5,14,14,15,"no","yes"
"205",3,34,4,14,14,15,"no","yes"
"206",3,54,8,13,13,13,"no","yes"
"207",3,38,8,15,15,16,"no","yes"
"208",3,43,5,15,15,15,"no","yes"
"209",3,1,3,13,13,14,"no","yes"
"210",3,21,7,13,13,13,"no","yes"
"211",3,3,5,14,14,15,"no","yes"
"212",3,78,8,2,2,13,"no","yes"
"213",3,10,4,16,16,17,"no","yes"
"214",3,7,1,14,14,14,"no","yes"
"215",3,61,7,16,16,16,"no","yes"
"216",3,25,3,14,14,15,"no","yes"
"217",3,50,4,10,10,10,"no","yes"
"218",3,35,5,16,16,16,"no","yes"
"219",3,5,7,16,16,16,"no","yes"
"220",3,19,5,12,12,13,"no","yes"
"221",3,65,3,16,16,16,"no","yes"
"222",3,13,7,15,15,16,"no","yes"
"223",3,44,6,12,12,13,"no","yes"
"224",3,77,7,16,16,17,"no","yes"
"225",3,76,6,12,12,13,"no","yes"
"226",3,69,7,14,14,14,"no","yes"
"227",3,9,3,17,17,17,"no","yes"
"228",3,15,1,12,12,13,"no","yes"
"229",3,56,2,10,10,10,"no","yes"
"230",3,36,6,13,13,14,"no","yes"
"231",3,70,8,15,15,16,"no","yes"
"232",3,12,6,14,14,15,"no","yes"
"233",3,32,2,15,15,16,"no","yes"
"234",3,58,4,14,14,15,"no","yes"
"235",3,74,4,15,15,15,"no","yes"
"236",3,8,2,15,15,17,"no","yes"
"237",3,23,1,12,12,12,"no","yes"
"238",3,62,8,12,12,13,"no","yes"
"239",3,40,2,12,12,13,"no","yes"
"240",3,17,3,16,16,16,"no","yes"
"241",4,27,6,14,14,14,"no","yes"
"242",4,45,8,13,13,13,"no","yes"
"243",4,42,5,15,15,15,"no","yes"
"244",4,69,8,14,14,14,"no","yes"
"245",4,31,2,14,14,15,"no","yes"
"246",4,37,8,17,17,17,"no","yes"
"247",4,73,4,16,16,16,"no","yes"
"248",4,21,8,13,13,13,"no","yes"
"249",4,75,6,12,12,13,"no","yes"
"250",4,29,8,13,13,13,"no","yes"
"251",4,4,7,16,16,16,"no","yes"
"252",4,61,8,16,16,16,"no","yes"
"253",4,22,1,15,15,15,"no","yes"
"254",4,59,6,14,14,15,"no","yes"
"255",4,64,3,13,13,13,"no","yes"
"256",4,76,7,11,11,13,"no","yes"
"257",4,62,1,13,13,13,"no","yes"
"258",4,72,3,15,15,15,"no","yes"
"259",4,46,1,15,15,16,"no","yes"
"260",4,47,2,12,12,13,"no","yes"
"261",4,28,7,13,13,13,"no","yes"
"262",4,11,6,13,13,14,"no","yes"
"263",4,36,7,14,14,14,"no","yes"
"264",4,52,7,15,15,15,"no","yes"
"265",4,50,5,10,10,10,"no","yes"
"266",4,63,2,14,14,14,"no","yes"
"267",4,60,7,14,14,15,"no","yes"
"268",4,80,3,12,12,12,"no","yes"
"269",4,7,2,14,14,14,"no","yes"
"270",4,13,8,14,14,16,"no","yes"
"271",4,33,4,12,12,12,"no","yes"
"272",4,55,2,12,12,15,"no","yes"
"273",4,44,7,13,13,13,"no","yes"
"274",4,24,3,13,13,13,"no","yes"
"275",4,70,1,15,15,16,"no","yes"
"276",4,30,1,11,11,11,"no","yes"
"277",4,1,4,14,14,14,"no","yes"
"278",4,71,2,12,12,14,"no","yes"
"279",4,43,6,14,14,15,"no","yes"
"280",4,10,5,16,16,17,"no","yes"
"281",4,12,7,14,14,15,"no","yes"
"282",4,32,3,16,16,16,"no","yes"
"283",4,67,6,15,15,15,"no","yes"
"284",4,20,7,13,13,14,"no","yes"
"285",4,6,1,13,13,13,"no","yes"
"286",4,68,7,13,13,13,"no","yes"
"287",4,35,6,15,15,16,"no","yes"
"288",4,5,8,16,16,16,"no","yes"
"289",4,40,3,13,13,13,"no","yes"
"290",4,79,2,13,13,13,"no","yes"
"291",4,58,5,14,14,15,"no","yes"
"292",4,57,4,15,15,16,"no","yes"
"293",4,65,4,16,16,16,"no","yes"
"294",4,2,5,15,15,15,"no","yes"
"295",4,8,3,16,16,17,"no","yes"
"296",4,54,1,12,12,13,"no","yes"
"297",4,23,2,12,12,12,"no","yes"
"298",4,3,6,15,15,15,"no","yes"
"299",4,51,6,12,12,13,"no","yes"
"300",4,66,5,16,16,16,"no","yes"
"301",4,19,6,13,13,13,"no","yes"
"302",4,56,3,9,9,10,"no","yes"
"303",4,78,1,13,13,13,"no","yes"
"304",4,39,2,14,14,15,"no","yes"
"305",4,41,4,14,14,14,"no","yes"
"306",4,25,4,14,14,15,"no","yes"
"307",4,48,3,16,16,16,"no","yes"
"308",4,38,1,16,16,16,"no","yes"
"309",4,15,2,13,13,13,"no","yes"
"310",4,26,5,15,15,15,"no","yes"
"311",4,17,4,16,16,16,"no","yes"
"312",4,34,5,15,15,15,"no","yes"
"313",4,49,4,12,12,12,"no","yes"
"314",4,53,8,14,14,14,"no","yes"
"315",4,16,3,17,17,17,"no","yes"
"316",4,74,5,15,15,15,"no","yes"
"317",4,14,1,14,14,15,"no","yes"
"318",4,18,5,10,10,11,"no","yes"
"319",4,77,8,17,17,17,"no","yes"
"320",4,9,4,17,17,17,"no","yes"
"321",5,23,3,12,12,12,"no","yes"
"322",5,43,7,15,15,15,"no","yes"
"323",5,70,2,16,16,16,"no","yes"
"324",5,17,5,16,16,16,"no","yes"
"325",5,63,3,14,14,14,"no","yes"
"326",5,32,4,16,16,16,"no","yes"
"327",5,45,1,13,13,13,"no","yes"
"328",5,53,1,14,14,14,"no","yes"
"329",5,30,2,11,11,11,"no","yes"
"330",5,24,4,13,13,13,"no","yes"
"331",5,40,4,13,13,13,"no","yes"
"332",5,78,2,13,13,13,"no","yes"
"333",5,12,8,15,15,15,"no","yes"
"334",5,51,7,13,13,13,"no","yes"
"335",5,62,2,13,13,13,"no","yes"
"336",5,2,6,15,15,15,"no","yes"
"337",5,52,8,15,15,15,"no","yes"
"338",5,57,5,15,15,16,"no","yes"
"339",5,44,8,13,13,13,"no","yes"
"340",5,5,1,16,16,16,"no","yes"
"341",5,58,6,15,15,15,"no","yes"
"342",5,9,5,17,17,17,"no","yes"
"343",5,19,7,13,13,13,"no","yes"
"344",5,61,1,16,16,16,"no","yes"
"345",5,21,1,13,13,13,"no","yes"
"346",5,73,5,16,16,16,"no","yes"
"347",5,8,4,17,17,17,"no","yes"
"348",5,15,3,12,12,13,"no","yes"
"349",5,65,5,16,16,16,"no","yes"
"350",5,42,6,15,15,15,"no","yes"
"351",5,56,4,10,10,10,"no","yes"
"352",5,54,2,13,13,13,"no","yes"
"353",5,4,8,14,14,16,"no","yes"
"354",5,16,4,16,16,17,"no","yes"
"355",5,35,7,16,16,16,"no","yes"
"356",5,80,4,12,12,12,"no","yes"
"357",5,14,2,14,14,15,"no","yes"
"358",5,10,6,16,16,17,"no","yes"
"359",5,3,7,15,15,15,"no","yes"
"360",5,37,1,17,17,17,"no","yes"
"361",5,69,1,14,14,14,"no","yes"
"362",5,64,4,13,13,13,"no","yes"
"363",5,31,3,15,15,15,"no","yes"
"364",5,60,8,15,15,15,"no","yes"
"365",5,11,7,14,14,14,"no","yes"
"366",5,33,5,12,12,12,"no","yes"
"367",5,67,7,15,15,15,"no","yes"
"368",5,46,2,16,16,16,"no","yes"
"369",5,18,6,11,11,11,"no","yes"
"370",5,6,2,13,13,13,"no","yes"
"371",5,76,8,12,12,13,"no","yes"
"372",5,79,3,13,13,13,"no","yes"
"373",5,36,8,14,14,14,"no","yes"
"374",5,68,8,12,12,13,"no","yes"
"375",5,1,5,14,14,14,"no","yes"
"376",5,59,7,15,15,15,"no","yes"
"377",5,55,3,15,15,15,"no","yes"
"378",5,34,6,14,14,15,"no","yes"
"379",5,39,3,15,15,15,"no","yes"
"380",5,22,2,14,14,15,"no","yes"
"381",5,38,2,16,16,16,"no","yes"
"382",5,49,5,12,12,12,"no","yes"
"383",5,71,3,14,14,14,"no","yes"
"384",5,72,4,15,15,15,"no","yes"
"385",5,77,1,17,17,17,"no","yes"
"386",5,75,7,13,13,13,"no","yes"
"387",5,28,8,13,13,13,"no","yes"
"388",5,25,5,15,15,15,"no","yes"
"389",5,20,8,14,14,14,"no","yes"
"390",5,66,6,16,16,16,"no","yes"
"391",5,47,3,13,13,13,"no","yes"
"392",5,13,1,16,16,16,"no","yes"
"393",5,50,6,10,10,10,"no","yes"
"394",5,29,1,13,13,13,"no","yes"
"395",5,7,3,14,14,14,"no","yes"
"396",5,26,6,15,15,15,"no","yes"
"397",5,74,6,15,15,15,"no","yes"
"398",5,48,4,15,15,16,"no","yes"
"399",5,41,5,14,14,14,"no","yes"
"400",5,27,7,14,14,14,"no","yes"
"401",6,63,4,13,13,14,"no","yes"
"402",6,32,5,16,16,16,"no","yes"
"403",6,79,4,13,13,13,"no","yes"
"404",6,28,1,13,13,13,"no","yes"
"405",6,30,3,11,11,11,"no","yes"
"406",6,43,8,13,13,15,"no","yes"
"407",6,64,5,13,13,13,"no","yes"
"408",6,21,2,13,13,13,"no","yes"
"409",6,44,1,13,13,13,"no","yes"
"410",6,50,7,10,10,10,"no","yes"
"411",6,51,8,13,13,13,"no","yes"
"412",6,41,6,14,14,14,"no","yes"
"413",6,80,5,12,12,12,"no","yes"
"414",6,77,2,17,17,17,"no","yes"
"415",6,33,6,12,12,12,"no","yes"
"416",6,8,5,16,16,17,"no","yes"
"417",6,36,1,14,14,14,"no","yes"
"418",6,70,3,15,15,16,"no","yes"
"419",6,40,5,13,13,13,"no","yes"
"420",6,2,7,15,15,15,"no","yes"
"421",6,48,5,16,16,16,"no","yes"
"422",6,42,7,14,14,15,"no","yes"
"423",6,65,6,16,16,16,"no","yes"
"424",6,22,3,15,15,15,"no","yes"
"425",6,5,2,16,16,16,"no","yes"
"426",6,62,3,13,13,13,"no","yes"
"427",6,27,8,14,14,14,"no","yes"
"428",6,60,1,15,15,15,"no","yes"
"429",6,37,2,16,16,17,"no","yes"
"430",6,24,5,12,12,13,"no","yes"
"431",6,61,2,16,16,16,"no","yes"
"432",6,56,5,10,10,10,"no","yes"
"433",6,39,4,12,12,15,"no","yes"
"434",6,46,3,16,16,16,"no","yes"
"435",6,13,2,15,15,16,"no","yes"
"436",6,53,2,14,14,14,"no","yes"
"437",6,3,8,15,15,15,"no","yes"
"438",6,55,4,15,15,15,"no","yes"
"439",6,59,8,15,15,15,"no","yes"
"440",6,52,1,15,15,15,"no","yes"
"441",6,54,3,13,13,13,"no","yes"
"442",6,12,1,15,15,15,"no","yes"
"443",6,19,8,13,13,13,"no","yes"
"444",6,23,4,12,12,12,"no","yes"
"445",6,68,1,13,13,13,"no","yes"
"446",6,9,6,17,17,17,"no","yes"
"447",6,49,6,12,12,12,"no","yes"
"448",6,16,5,17,17,17,"no","yes"
"449",6,4,1,16,16,16,"no","yes"
"450",6,38,3,16,16,16,"no","yes"
"451",6,35,8,16,16,16,"no","yes"
"452",6,31,4,15,15,15,"no","yes"
"453",6,78,3,13,13,13,"no","yes"
"454",6,14,3,15,15,15,"no","yes"
"455",6,75,8,7,7,13,"no","yes"
"456",6,18,7,11,11,11,"no","yes"
"457",6,1,6,9,9,14,"no","yes"
"458",6,67,8,11,11,15,"no","yes"
"459",6,10,7,16,16,17,"no","yes"
"460",6,15,4,13,13,13,"no","yes"
"461",6,29,2,13,13,13,"no","yes"
"462",6,66,7,16,16,16,"no","yes"
"463",6,7,4,14,14,14,"no","yes"
"464",6,11,8,12,12,14,"no","yes"
"465",6,25,6,15,15,15,"no","yes"
"466",6,26,7,15,15,15,"no","yes"
"467",6,17,6,16,16,16,"no","yes"
