"","sub","item","cond","seq","Bnd_loc","tCross","tStarted","tCompleted","tChange","tActualChange","nextFlag","tNextFlag","tChangetoFixOnset"
"53",1,28,4,53,271,858834,858837,858844,7,10,"SFIX",858843,1
"54",1,115,1,54,447,869094,869099,869106,7,12,"SFIX",869100,6
"55",1,43,1,55,216,874683,874688,874694,6,11,"SFIX",874690,4
"56",1,15,3,56,227,883547,883551,883558,7,11,"SFIX",883554,4
"57",1,58,4,57,403,892351,892356,892362,6,11,"SFIX",892358,4
"58",1,18,6,58,381,897956,897964,897970,6,14,"SFIX",897967,3
"59",1,114,6,59,271,905485,905494,905500,6,15,"SFIX",905495,5
"60",1,1,1,60,513,911647,911651,911658,7,11,"SFIX",911653,5
"61",1,20,2,61,502,918694,918698,918704,6,10,"SFIX",918706,-2
"62",1,86,2,62,282,927962,927966,927972,6,10,"SFIX",927974,-2
"63",1,7,1,63,513,934056,934065,934071,6,15,"SFIX",934070,1
"64",1,95,5,64,425,944260,944268,944274,6,14,"SFIX",944273,1
"65",1,79,1,65,579,956147,956151,956157,6,10,"SFIX",956158,-1
"66",1,76,4,66,458,1038341,1038346,1038352,6,11,"EFIX",1038344,661
"67",1,50,2,67,458,1046787,1046791,1046798,7,11,"EFIX",1046789,554
"68",1,83,5,68,491,1055070,1055073,1055079,6,9,"SFIX",1055073,6
"69",1,51,3,69,634,1061453,1061459,1061465,6,12,"SFIX",1061467,-2
"70",1,36,6,70,392,1071354,1071361,1071368,7,14,"SFIX",1071363,5
"71",1,106,4,71,403,1079687,1079695,1079702,7,15,"SFIX",1079696,6
"72",1,69,3,72,381,1085478,1085486,1085493,7,15,"EFIX",1085485,768
"73",1,49,1,73,513,1092108,1092114,1092121,7,13,"SFIX",1092115,6
"74",1,103,1,74,458,1102062,1102069,1102076,7,14,"SFIX",1102073,3
"75",1,111,3,75,348,1107515,1107521,1107527,6,12,"SFIX",1107521,6
"76",1,12,6,76,590,1113641,1113645,1113652,7,11,"SFIX",1113650,2
"77",1,11,5,77,293,1124054,1124058,1124064,6,10,"SFIX",1124061,3
"78",1,129,3,78,271,1131744,1131751,1131758,7,14,"EFIX",1131743,826
"79",1,96,6,79,359,1136801,1136804,1136810,6,9,"EFIX",1136803,659
