seq,subj,item,cond,R1,R2,R3,R4
0,1,12,0,0,0,0,0
0,1,12,0,0,0,0,0
0,1,12,0,0,0,0,0
21,1,12,4,1644,173,356,515
0,1,12,0,0,0,0,0
0,1,12,0,0,0,0,0
0,1,12,0,0,0,0,0
0,1,12,0,0,0,0,0
0,1,13,0,0,0,0,0
0,1,13,0,0,0,0,0
0,1,13,0,0,0,0,0
0,1,13,0,0,0,0,0
61,1,13,5,575,180,413,706
0,1,13,0,0,0,0,0
0,1,13,0,0,0,0,0
0,1,13,0,0,0,0,0
0,1,14,0,0,0,0,0
0,1,14,0,0,0,0,0
0,1,14,0,0,0,0,0
0,1,14,0,0,0,0,0
0,1,14,0,0,0,0,0
0,1,14,6,1363,194,273,621
0,1,14,0,0,0,0,0
0,1,14,0,0,0,0,0
0,1,15,0,0,0,0,0
0,1,15,0,0,0,0,0
0,1,15,0,0,0,0,0
0,1,15,0,0,0,0,0
0,1,15,0,0,0,0,0
0,1,15,0,0,0,0,0
0,1,15,0,0,0,0,0
0,1,15,0,0,0,0,0
0,1,16,0,0,0,0,0
0,1,16,0,0,0,0,0
0,1,16,0,0,0,0,0
0,1,16,0,0,0,0,0
0,1,16,0,0,0,0,0
0,1,16,0,0,0,0,0
0,1,16,0,0,0,0,0
13,1,16,8,1618,313,449,1420
64,1,17,1,585,423,106,566
0,1,17,0,0,0,0,0
0,1,17,0,0,0,0,0
0,1,17,0,0,0,0,0
0,1,17,0,0,0,0,0
0,1,17,0,0,0,0,0
0,1,17,0,0,0,0,0
0,1,17,0,0,0,0,0
0,1,18,0,0,0,0,0
27,1,18,2,1944,329,193,372
0,1,18,0,0,0,0,0
0,1,18,0,0,0,0,0
0,1,18,0,0,0,0,0
0,1,18,0,0,0,0,0
0,1,18,0,0,0,0,0
0,1,18,0,0,0,0,0
0,1,19,0,0,0,0,0
0,1,19,0,0,0,0,0
46,1,19,3,659,542,314,397
0,1,19,0,0,0,0,0
0,1,19,0,0,0,0,0
0,1,19,0,0,0,0,0
0,1,19,0,0,0,0,0
0,1,19,0,0,0,0,0
0,1,20,0,0,0,0,0
0,1,20,0,0,0,0,0
0,1,20,0,0,0,0,0
20,1,20,4,1067,593,450,714
0,1,20,0,0,0,0,0
0,1,20,0,0,0,0,0
0,1,20,0,0,0,0,0
0,1,20,0,0,0,0,0
0,1,21,0,0,0,0,0
0,1,21,0,0,0,0,0
0,1,21,0,0,0,0,0
0,1,21,0,0,0,0,0
33,1,21,5,2562,470,332,338
0,1,21,0,0,0,0,0
0,1,21,0,0,0,0,0
0,1,21,0,0,0,0,0
0,1,22,0,0,0,0,0
0,1,22,0,0,0,0,0
0,1,22,0,0,0,0,0
0,1,22,0,0,0,0,0
0,1,22,0,0,0,0,0
4,1,22,6,1666,189,269,781
0,1,22,0,0,0,0,0
0,1,22,0,0,0,0,0
0,1,23,0,0,0,0,0
0,1,23,0,0,0,0,0
0,1,23,0,0,0,0,0
0,1,23,0,0,0,0,0
0,1,23,0,0,0,0,0
0,1,23,0,0,0,0,0
36,1,23,7,835,898,227,743
0,1,23,0,0,0,0,0
0,1,24,0,0,0,0,0
0,1,24,0,0,0,0,0
0,1,24,0,0,0,0,0
0,1,24,0,0,0,0,0
0,1,24,0,0,0,0,0
0,1,24,0,0,0,0,0
0,1,24,0,0,0,0,0
14,1,24,8,1071,278,209,429
63,1,25,1,303,376,194,479
0,1,25,0,0,0,0,0
0,1,25,0,0,0,0,0
0,1,25,0,0,0,0,0
0,1,25,0,0,0,0,0
0,1,25,0,0,0,0,0
0,1,25,0,0,0,0,0
0,1,25,0,0,0,0,0
0,1,26,0,0,0,0,0
2,1,26,2,461,194,178,644
0,1,26,0,0,0,0,0
0,1,26,0,0,0,0,0
0,1,26,0,0,0,0,0
0,1,26,0,0,0,0,0
0,1,26,0,0,0,0,0
0,1,26,0,0,0,0,0
0,1,27,0,0,0,0,0
0,1,27,0,0,0,0,0
0,1,27,0,0,0,0,0
0,1,27,0,0,0,0,0
0,1,27,0,0,0,0,0
0,1,27,0,0,0,0,0
0,1,27,0,0,0,0,0
0,1,27,0,0,0,0,0
0,1,28,0,0,0,0,0
0,1,28,0,0,0,0,0
0,1,28,0,0,0,0,0
65,1,28,4,915,232,350,773
0,1,28,0,0,0,0,0
0,1,28,0,0,0,0,0
0,1,28,0,0,0,0,0
0,1,28,0,0,0,0,0
0,1,29,0,0,0,0,0
0,1,29,0,0,0,0,0
0,1,29,0,0,0,0,0
0,1,29,0,0,0,0,0
7,1,29,5,1419,295,441,813
0,1,29,0,0,0,0,0
0,1,29,0,0,0,0,0
0,1,29,0,0,0,0,0
0,1,30,0,0,0,0,0
0,1,30,0,0,0,0,0
0,1,30,0,0,0,0,0
0,1,30,0,0,0,0,0
0,1,30,0,0,0,0,0
25,1,30,6,471,386,318,1037
0,1,30,0,0,0,0,0
0,1,30,0,0,0,0,0
0,1,31,0,0,0,0,0
0,1,31,0,0,0,0,0
0,1,31,0,0,0,0,0
0,1,31,0,0,0,0,0
0,1,31,0,0,0,0,0
0,1,31,0,0,0,0,0
1,1,31,7,796,330,307,983
0,1,31,0,0,0,0,0
0,1,32,0,0,0,0,0
0,1,32,0,0,0,0,0
0,1,32,0,0,0,0,0
0,1,32,0,0,0,0,0
0,1,32,0,0,0,0,0
0,1,32,0,0,0,0,0
0,1,32,0,0,0,0,0
34,1,32,8,713,482,438,661
17,1,33,1,932,526,300,277
0,1,33,0,0,0,0,0
0,1,33,0,0,0,0,0
0,1,33,0,0,0,0,0
0,1,33,0,0,0,0,0
