"","sub","item","seq","cond","nfix","deg"
"256",4,16,75,3,11,"20"
"257",4,17,71,4,13,"0"
"258",4,18,78,5,16,"20"
"259",4,19,61,6,14,"0"
"260",4,20,44,7,6,"20"
"261",4,21,8,8,15,"0"
"262",4,22,13,1,14,"20"
"263",4,23,57,2,8,"0"
"264",4,24,34,3,6,"20"
"265",4,25,66,4,5,"0"
"266",4,26,70,5,10,"20"
"267",4,27,1,6,10,"0"
"268",4,28,21,7,8,"20"
"269",4,29,10,8,9,"0"
"270",4,30,36,1,7,"20"
"271",4,31,5,2,12,"0"
"272",4,32,42,3,14,"20"
"273",4,33,31,4,6,"0"
"274",4,34,72,5,12,"20"
"275",4,35,47,6,9,"0"
"276",4,36,23,7,9,"20"
"277",4,37,6,8,10,"0"
"278",4,38,68,1,9,"20"
"279",4,39,64,2,8,"0"
"280",4,40,49,3,7,"20"
"281",4,41,65,4,7,"0"
"282",4,42,3,5,14,"20"
"283",4,43,39,6,6,"0"
"284",4,44,33,7,9,"20"
"285",4,45,2,8,13,"0"
"286",4,46,19,1,10,"20"
"287",4,47,20,2,6,"0"
"288",4,48,67,3,15,"20"
"289",4,49,73,4,7,"0"
"290",4,50,25,5,6,"20"
"291",4,51,59,6,7,"0"
"292",4,52,24,7,7,"20"
"293",4,53,74,8,17,"0"
"294",4,54,56,1,8,"20"
"295",4,55,32,2,10,"0"
"296",4,56,62,3,7,"20"
"297",4,57,52,4,8,"0"
"298",4,58,51,5,7,"20"
"299",4,59,14,6,10,"0"
"300",4,60,27,7,9,"20"
"301",4,61,12,8,9,"0"
"302",4,62,17,1,9,"20"
"303",4,63,26,2,9,"0"
"304",4,64,15,3,8,"20"
"305",4,65,53,4,11,"0"
"306",4,66,60,5,8,"20"
"307",4,67,43,6,8,"0"
"308",4,68,46,7,8,"20"
"309",4,69,4,8,8,"0"
"310",4,70,35,1,8,"20"
"311",4,71,38,2,12,"0"
"312",4,72,18,3,11,"20"
"313",4,73,7,4,17,"0"
"314",4,74,76,5,7,"20"
"315",4,75,9,6,7,"0"
"316",4,76,16,7,10,"20"
"317",4,77,79,8,7,"0"
"318",4,78,63,1,9,"20"
"319",4,79,50,2,16,"0"
"320",4,80,28,3,7,"20"
"321",5,1,55,5,8,"20"
"322",5,2,16,6,10,"0"
"323",5,3,39,7,10,"20"
"324",5,4,33,8,12,"0"
"325",5,5,20,1,9,"20"
"326",5,6,50,2,12,"0"
"327",5,7,75,3,10,"20"
"328",5,8,27,4,10,"0"
"329",5,9,22,5,8,"20"
"330",5,10,38,6,12,"0"
"331",5,11,45,7,8,"20"
"332",5,12,13,8,9,"0"
"333",5,13,72,1,8,"20"
"334",5,14,37,2,10,"0"
"335",5,15,28,3,8,"20"
"336",5,16,34,4,8,"0"
"337",5,17,4,5,9,"20"
"338",5,18,49,6,10,"0"
"339",5,19,23,7,7,"20"
