"","sub","cond","item","seq","start_time","end_time","duration_ms","deg","prev"
"19213",15,3,109,131,11152143,11155274,3131,"0","mask"
"19310",15,1,47,132,11158438,11160392,1954,"0","valid"
"19510",15,2,30,133,11165903,11168458,2555,"0","orth"
"19711",15,1,83,134,11173471,11176164,2693,"0","valid"
"1989",15,2,66,135,11179106,11181740,2634,"0","orth"
"19910",15,6,106,136,11184544,11186943,2399,"20","mask"
"20012",15,5,135,137,11190231,11194048,3817,"20","orth"
"20112",15,3,127,138,11197231,11200179,2948,"0","mask"
"1050",16,4,73,1,29253245,29258743,5498,"20","valid"
"1140",16,3,54,2,29262121,29266993,4872,"0","mask"
"1350",16,5,98,3,29275144,29282620,7476,"20","orth"
"1449",16,4,61,4,29285879,29290724,4845,"20","valid"
"1540",16,1,10,5,29294116,29298668,4552,"0","valid"
"1750",16,3,84,6,29304879,29309830,4951,"0","mask"
"1840",16,5,74,7,29313363,29318880,5517,"20","orth"
"1940",16,4,67,8,29322106,29325618,3512,"20","valid"
"209",16,6,123,9,29328690,29333488,4798,"20","mask"
"2112",16,4,121,10,29336374,29340512,4138,"20","valid"
"2211",16,4,13,11,29343705,29348116,4411,"20","valid"
"2413",16,1,112,12,29353981,29357640,3659,"0","valid"
"2510",16,2,83,13,29360792,29365563,4771,"0","orth"
"2614",16,1,106,14,29368555,29372094,3539,"0","valid"
"2712",16,1,76,15,29374980,29380044,5064,"0","valid"
"2810",16,5,68,16,29383290,29388488,5198,"20","orth"
"2912",16,5,38,17,29391640,29395912,4272,"20","orth"
"319",16,3,96,18,29401956,29406674,4718,"0","mask"
"3211",16,2,77,19,29410140,29414871,4731,"0","orth"
"3313",16,5,86,20,29418130,29421862,3732,"20","orth"
"3410",16,6,3,21,29425075,29429333,4258,"20","mask"
"3611",16,3,42,22,29434864,29440016,5152,"0","mask"
"3811",16,5,20,23,29445940,29449705,3765,"20","orth"
"4010",16,3,114,24,29456430,29462347,5917,"0","mask"
"4114",16,2,113,25,29465606,29470438,4832,"0","orth"
"429",16,2,95,26,29473557,29478615,5058,"0","orth"
"4311",16,6,15,27,29481640,29484699,3059,"20","mask"
"457",16,6,27,28,29490237,29494636,4399,"20","mask"
"477",16,2,47,29,29500167,29504239,4072,"0","orth"
"499",16,3,90,30,29510216,29514995,4779,"0","mask"
"5011",16,2,101,31,29518073,29522885,4812,"0","orth"
"519",16,3,108,32,29525884,29531095,5211,"0","mask"
"5212",16,1,46,33,29534427,29538573,4146,"0","valid"
"5411",16,5,110,34,29544511,29548289,3778,"20","orth"
"5514",16,3,138,35,29551741,29556626,4885,"0","mask"
"568",16,2,23,36,29559851,29564097,4246,"0","orth"
"5810",16,1,64,37,29570008,29575199,5191,"0","valid"
"5914",16,2,89,38,29578238,29583629,5391,"0","orth"
"6011",16,5,92,39,29587261,29592639,5378,"20","orth"
"6112",16,5,116,40,29595778,29600510,4732,"20","orth"
"6214",16,6,117,41,29603468,29606528,3060,"20","mask"
"6311",16,5,56,42,29609426,29614098,4672,"20","orth"
"6413",16,4,103,43,29617603,29621369,3766,"20","valid"
"6512",16,2,137,44,29624548,29629692,5144,"0","orth"
"6610",16,5,14,45,29633078,29637922,4844,"20","orth"
"6810",16,4,109,46,29644680,29649005,4325,"20","valid"
"6912",16,2,107,47,29652357,29656815,4458,"0","orth"
"7012",16,1,40,48,29660308,29665492,5184,"0","valid"
"7212",16,2,11,49,29671743,29676009,4266,"0","orth"
"7411",16,4,55,50,29682393,29687511,5118,"20","valid"
"7512",16,2,131,51,29690577,29694962,4385,"0","orth"
"7611",16,3,120,52,29698027,29702479,4452,"0","mask"
"779",16,6,93,53,29706097,29710409,4312,"20","mask"
"7811",16,3,48,54,29713315,29716234,2919,"0","mask"
"8011",16,6,135,55,29722611,29727823,5212,"20","mask"
"8111",16,1,124,56,29730742,29735160,4418,"0","valid"
"8211",16,2,53,57,29738665,29743497,4832,"0","orth"
"8410",16,4,43,58,29749108,29752960,3852,"20","valid"
"8612",16,5,32,59,29758645,29762403,3758,"20","orth"
"8812",16,4,49,60,29768394,29772326,3932,"20","valid"
"9010",16,5,134,61,29777911,29781523,3612,"20","orth"
"9110",16,2,17,62,29784715,29789580,4865,"0","orth"
"9310",16,3,60,63,29795184,29800449,5265,"0","mask"
"9410",16,3,66,64,29803561,29806727,3166,"0","mask"
"9511",16,6,105,65,29809826,29816903,7077,"20","mask"
"969",16,6,45,66,29867544,29871296,3752,"20","mask"
"9811",16,2,5,67,29877354,29881619,4265,"0","orth"
"10013",16,1,58,68,29887557,29891702,4145,"0","valid"
"10114",16,2,59,69,29894794,29899146,4352,"0","orth"
"10211",16,2,65,70,29902085,29905444,3359,"0","orth"
"10313",16,3,6,71,29908389,29913067,4678,"0","mask"
"10510",16,3,30,72,29918705,29922591,3886,"0","mask"
"10711",16,2,125,73,29928262,29931881,3619,"0","orth"
"10811",16,3,72,74,29934613,29938351,3738,"0","mask"
"1098",16,2,35,75,29941350,29944589,3239,"0","orth"
"11113",16,4,1,76,29950581,29954665,4084,"20","valid"
"11310",16,4,133,77,29960863,29963689,2826,"20","valid"
"11410",16,2,41,78,29966754,29970806,4052,"0","orth"
"11612",16,6,81,79,29976184,29980310,4126,"20","mask"
"11711",16,2,119,80,29983315,29987207,3892,"0","orth"
"11813",16,4,19,81,29990219,29994318,4099,"20","valid"
"12012",16,1,94,82,30002255,30007906,5651,"0","valid"
"12114",16,5,104,83,30011152,30014943,3791,"20","orth"
"12213",16,1,118,84,30018422,30022181,3759,"0","valid"
"12311",16,4,91,85,30025073,30029565,4492,"20","valid"
"12411",16,1,4,86,30032724,30036475,3751,"0","valid"
"12610",16,6,87,87,30042333,30046745,4412,"20","mask"
"1279",16,6,63,88,30049564,30052629,3065,"20","mask"
"12810",16,5,122,89,30055441,30057534,2093,"20","orth"
"12913",16,4,127,90,30060480,30063199,2719,"20","valid"
"1309",16,4,79,91,30066051,30070203,4152,"20","valid"
"13115",16,5,128,92,30073102,30077680,4578,"20","orth"
"13214",16,5,50,93,30080679,30084251,3572,"20","orth"
"13410",16,6,9,94,30090049,30094774,4725,"20","mask"
"13610",16,4,25,95,30100472,30103831,3359,"20","valid"
"1389",16,4,97,96,30109315,30112514,3199,"20","valid"
"13910",16,6,39,97,30115433,30119238,3805,"20","mask"
"14115",16,1,82,98,30125063,30129388,4325,"0","valid"
"14213",16,4,7,99,30132353,30137331,4978,"20","valid"
"14410",16,6,51,100,30143809,30148094,4285,"20","mask"
"14613",16,5,8,101,30153799,30158217,4418,"20","orth"
"1489",16,4,85,102,30164614,30168540,3926,"20","valid"
"14914",16,2,29,103,30171445,30175697,4252,"0","orth"
"15115",16,6,57,104,30181582,30185967,4385,"20","mask"
"15213",16,6,21,105,30189052,30191898,2846,"20","mask"
"15411",16,6,69,106,30197629,30201541,3912,"20","mask"
"15511",16,5,62,107,30204626,30209238,4612,"20","orth"
"15611",16,3,24,108,30212344,30216989,4645,"0","mask"
"1589",16,6,129,109,30224099,30229144,5045,"20","mask"
"15911",16,6,99,110,30232436,30236948,4512,"20","mask"
"16012",16,3,132,111,30240020,30244299,4279,"0","mask"
"16115",16,5,2,112,30247231,30250929,3698,"20","orth"
"16315",16,3,102,113,30257420,30260566,3146,"0","mask"
"1649",16,1,100,114,30263598,30266957,3359,"0","valid"
"16512",16,5,80,115,30270142,30274174,4032,"20","orth"
"1665",16,3,126,116,30277459,30282691,5232,"0","mask"
"16713",16,1,34,117,30285770,30289815,4045,"0","valid"
"16912",16,4,37,118,30295580,30300764,5184,"20","valid"
"17115",16,4,31,119,30306262,30310734,4472,"20","valid"
"17310",16,5,44,120,30317592,30320770,3178,"20","orth"
"17510",16,6,111,121,30326661,30330013,3352,"20","mask"
"17611",16,1,52,122,30333366,30337484,4118,"0","valid"
"17810",16,1,130,123,30343489,30348347,4858,"0","valid"
"17911",16,1,28,124,30351386,30355544,4158,"0","valid"
"18116",16,1,88,125,30361555,30364674,3119,"0","valid"
"18211",16,3,36,126,30367493,30372045,4552,"0","mask"
"18410",16,3,18,127,30378449,30382907,4458,"0","mask"
"18610",16,3,12,128,30388865,30392570,3705,"0","mask"
"18811",16,4,115,129,30398135,30401427,3292,"20","valid"
"18911",16,1,16,130,30404506,30407785,3279,"0","valid"
"19117",16,3,78,131,30413096,30416041,2945,"0","mask"
"19214",16,1,70,132,30419194,30424225,5031,"0","valid"
"19311",16,2,71,133,30427064,30429970,2906,"0","orth"
"1949",16,1,22,134,30432835,30436601,3766,"0","valid"
"19610",16,5,26,135,30442818,30448610,5792,"20","orth"
"19810",16,1,136,136,30455460,30459232,3772,"0","valid"
"19911",16,6,33,137,30462418,30466183,3765,"20","mask"
"20113",16,6,75,138,30472488,30477272,4784,"20","mask"
"1060",17,3,65,1,31411507,31413979,2472,"0","mask"
"1150",17,3,23,2,31417325,31421210,3885,"0","mask"
"1360",17,3,17,3,31426928,31430493,3565,"0","mask"
"1550",17,3,119,4,31437111,31443801,6690,"0","mask"
"1640",17,2,4,5,31447094,31450233,3139,"0","orth"
"1850",17,5,7,6,31455977,31459296,3319,"20","orth"
"2010",17,2,82,7,31466200,31469352,3152,"0","orth"
"2113",17,4,138,8,31472984,31476190,3206,"20","valid"
"2212",17,5,61,9,31479782,31482647,2865,"20","orth"
"239",17,1,75,10,31486086,31489785,3699,"0","valid"
"2414",17,2,40,11,31493443,31497608,4165,"0","orth"
"2615",17,1,45,12,31503466,31506845,3379,"0","valid"
"2811",17,5,91,13,31512277,31515668,3391,"20","orth"
"2913",17,1,87,14,31519174,31522586,3412,"0","valid"
"3012",17,5,103,15,31525478,31528970,3492,"20","orth"
"3110",17,5,85,16,31531776,31535434,3658,"20","orth"
"3212",17,6,8,17,31538767,31541425,2658,"20","mask"
"3411",17,3,5,18,31548283,31551169,2886,"0","mask"
"3612",17,4,54,19,31557366,31560085,2719,"20","valid"
"3812",17,4,12,20,31566617,31568862,2245,"20","valid"
"4011",17,4,36,21,31574707,31577646,2939,"20","valid"
"4210",17,4,84,22,31584156,31588135,3979,"20","valid"
"4312",17,4,126,23,31591121,31595386,4265,"20","valid"
"4411",17,6,116,24,31598498,31602430,3932,"20","mask"
"458",17,2,106,25,31605349,31608761,3412,"0","orth"
"4612",17,1,105,26,31611760,31616591,4831,"0","valid"
"478",17,1,93,27,31619650,31622395,2745,"0","valid"
"4812",17,1,111,28,31625688,31628860,3172,"0","valid"
"4910",17,6,122,29,31631632,31634351,2719,"20","mask"
"5012",17,1,33,30,31637497,31640929,3432,"0","valid"
"5213",17,6,104,31,31647060,31651398,4338,"20","mask"
"5312",17,5,73,32,31654657,31658909,4252,"20","orth"
"5412",17,4,60,33,31662127,31665640,3513,"20","valid"
"5515",17,5,31,34,31669385,31672910,3525,"20","orth"
"5710",17,3,53,35,31678475,31681134,2659,"0","mask"
"5915",17,1,9,36,31686905,31690284,3379,"0","valid"
"6113",17,1,39,37,31696848,31700660,3812,"0","valid"
"6312",17,2,46,38,31706585,31710223,3638,"0","orth"
"6513",17,3,35,39,31716241,31719373,3132,"0","mask"
"6711",17,5,67,40,31726111,31728396,2285,"20","orth"
"6811",17,6,68,41,31731509,31735474,3965,"20","mask"
"6913",17,1,135,42,31738533,31741845,3312,"0","valid"
"7013",17,1,81,43,31745224,31748609,3385,"0","valid"
"7110",17,5,37,44,31751488,31755033,3545,"20","orth"
"738",17,1,117,45,31760791,31764730,3939,"0","valid"
"7412",17,1,129,46,31768122,31772507,4385,"0","valid"
"7513",17,5,109,47,31775986,31780071,4085,"20","orth"
"7612",17,1,63,48,31783176,31786202,3026,"0","valid"
"7710",17,2,112,49,31789354,31793046,3692,"0","orth"
"7812",17,3,131,50,31796525,31801109,4584,"0","mask"
"7912",17,6,38,51,31804115,31807381,3266,"20","mask"
"8112",17,3,113,52,31813318,31816197,2879,"0","mask"
"8212",17,3,83,53,31819123,31822788,3665,"0","mask"
"8311",17,5,97,54,31825714,31827833,2119,"20","orth"
"8411",17,2,28,55,31830779,31834964,4185,"0","orth"
"8613",17,4,108,56,31841475,31844400,2925,"20","valid"
"879",17,3,29,57,31847539,31851864,4325,"0","mask"
"899",17,4,18,58,31859255,31861774,2519,"20","valid"
"9111",17,5,43,59,31867738,31870457,2719,"20","orth"
"9311",17,6,134,60,31876095,31879274,3179,"20","mask"
"9411",17,6,26,61,31882526,31887171,4645,"20","mask"
"9610",17,4,78,62,31893835,31896234,2399,"20","valid"
"979",17,6,92,63,31899340,31902659,3319,"20","mask"
"9812",17,4,24,64,31905344,31908303,2959,"20","valid"
"10014",17,4,30,65,31915561,31918339,2778,"20","valid"
"10212",17,6,20,66,31948675,31950621,1946,"20","mask"
"10410",17,6,128,67,31956159,31961617,5458,"20","mask"
"10511",17,2,22,68,31965036,31969234,4198,"0","orth"
"10712",17,5,25,69,31975592,31978464,2872,"20","orth"
"1099",17,6,14,70,31984242,31988180,3938,"20","mask"
"11114",17,1,123,71,31995278,31998943,3665,"0","valid"
"11214",17,2,52,72,32001755,32004368,2613,"0","orth"
"11411",17,2,94,73,32010066,32012965,2899,"0","orth"
"11511",17,5,55,74,32015617,32018216,2599,"20","orth"
"11613",17,3,95,75,32021168,32025486,4318,"0","mask"
"11712",17,1,3,76,32028572,32033150,4578,"0","valid"
"1198",17,3,71,77,32039521,32043113,3592,"0","mask"
"12013",17,5,13,78,32046392,32050444,4052,"20","orth"
"12214",17,3,107,79,32056722,32059674,2952,"0","mask"
"12312",17,3,137,80,32062753,32066132,3379,"0","mask"
"12412",17,5,127,81,32069017,32071323,2306,"20","orth"
"1259",17,5,1,82,32074235,32076721,2486,"20","orth"
"12710",17,1,15,83,32083112,32085491,2379,"0","valid"
"12914",17,3,41,84,32092468,32096827,4359,"0","mask"
"13116",17,6,32,85,32102638,32105670,3032,"20","mask"
"13313",17,4,72,86,32112088,32113967,1879,"20","valid"
"13411",17,6,50,87,32116740,32119238,2498,"20","mask"
"13611",17,2,118,88,32124990,32127929,2939,"0","orth"
"1378",17,4,102,89,32130748,32133307,2559,"20","valid"
"13810",17,3,59,90,32136272,32140870,4598,"0","mask"
"13911",17,4,42,91,32143929,32147448,3519,"20","valid"
"14116",17,2,88,92,32154113,32156838,2725,"0","orth"
"14214",17,1,69,93,32159544,32161776,2232,"0","valid"
"14313",17,3,89,94,32164775,32168800,4025,"0","mask"
"14411",17,4,6,95,32171799,32175937,4138,"20","valid"
"14614",17,4,114,96,32182928,32187153,4225,"20","valid"
"14710",17,3,47,97,32189913,32192325,2412,"0","mask"
"14915",17,2,64,98,32197749,32201481,3732,"0","orth"
"15010",17,2,130,99,32204827,32209386,4559,"0","orth"
"15116",17,4,48,100,32212104,32214257,2153,"20","valid"
"15310",17,1,51,101,32220421,32223153,2732,"0","valid"
"15512",17,1,57,102,32228771,32231598,2827,"0","valid"
"15612",17,6,80,103,32234856,32237755,2899,"20","mask"
"15714",17,2,76,104,32240534,32244859,4325,"0","orth"
"15810",17,2,70,105,32248184,32251776,3592,"0","orth"
"15912",17,6,62,106,32255315,32258114,2799,"20","mask"
"16013",17,2,10,107,32261253,32265025,3772,"0","orth"
"16210",17,3,101,108,32271869,32276400,4531,"0","mask"
"16316",17,2,58,109,32279972,32283684,3712,"0","orth"
"16410",17,5,79,110,32286897,32290335,3438,"20","orth"
"16513",17,3,125,111,32293661,32297846,4185,"0","mask"
"1666",17,6,86,112,32301145,32303877,2732,"20","mask"
"16714",17,6,98,113,32306763,32310321,3558,"20","mask"
"16813",17,3,77,114,32313447,32316699,3252,"0","mask"
"16913",17,4,120,115,32319778,32322277,2499,"20","valid"
"17013",17,4,96,116,32325236,32329421,4185,"20","valid"
"17116",17,2,16,117,32332500,32336845,4345,"0","orth"
"17311",17,3,11,118,32343189,32346015,2826,"0","mask"
"17511",17,6,74,119,32352446,32357437,4991,"20","mask"
"17612",17,6,2,120,32361042,32364148,3106,"20","mask"
"17811",17,5,133,121,32372698,32375197,2499,"20","orth"
"17912",17,4,90,122,32377930,32380762,2832,"20","valid"
"18012",17,5,19,123,32383947,32387533,3586,"20","orth"
"18212",17,4,66,124,32394057,32396603,2546,"20","valid"
"18310",17,6,56,125,32399695,32402754,3059,"20","mask"
"18411",17,1,21,126,32405633,32407978,2345,"0","valid"
"18611",17,2,124,127,32414050,32417628,3578,"0","orth"
"18712",17,2,136,128,32421180,32424406,3226,"0","orth"
"18812",17,5,115,129,32427331,32430343,3012,"20","orth"
"18912",17,6,110,130,32433263,32435455,2192,"20","mask"
"19011",17,2,100,131,32438134,32442006,3872,"0","orth"
"19118",17,6,44,132,32444765,32447197,2432,"20","mask"
"19312",17,5,121,133,32453515,32456034,2519,"20","orth"
"19410",17,5,49,134,32460179,32462658,2479,"20","orth"
"19611",17,2,34,135,32467830,32472681,4851,"0","orth"
"19811",17,4,132,136,32480052,32483037,2985,"20","valid"
"19912",17,1,99,137,32486069,32489582,3513,"0","valid"
"20013",17,1,27,138,32492574,32496033,3459,"0","valid"
"1070",18,6,37,1,793816,796281,2465,"20","mask"
"1240",18,6,61,2,802899,805911,3012,"20","mask"
"1370",18,5,72,3,809356,811989,2633,"20","orth"
"1450",18,1,38,4,814721,817227,2506,"0","valid"
"1650",18,5,12,5,826397,828956,2559,"20","orth"
"1860",18,6,133,6,834680,837099,2419,"20","mask"
"1950",18,3,88,7,840432,842724,2292,"0","mask"
"2020",18,6,127,8,846043,849242,3199,"20","mask"
"2114",18,5,60,9,853760,856232,2472,"20","orth"
"2213",18,4,137,10,859578,862570,2992,"20","valid"
"2310",18,4,83,11,865822,869248,3426,"20","valid"
"2415",18,1,86,12,873553,875798,2245,"0","valid"
"2511",18,6,55,13,879351,881630,2279,"20","mask"
"2616",18,2,33,14,884895,887227,2332,"0","orth"
"2812",18,3,10,15,894285,898143,3858,"0","mask"
"3013",18,2,15,16,904315,906427,2112,"0","orth"
"3213",18,6,25,17,913005,915564,2559,"20","mask"
"3412",18,1,116,18,923568,927239,3671,"0","valid"
"3511",18,5,6,19,931925,935550,3625,"20","orth"
"378",18,6,43,20,942254,945966,3712,"20","mask"
"3912",18,5,84,21,951724,954349,2625,"20","orth"
"4012",18,4,5,22,958161,961807,3646,"20","valid"
"4211",18,5,66,23,967511,970344,2833,"20","orth"
"4313",18,6,79,24,976381,978720,2339,"20","mask"
"4412",18,2,69,25,982093,984505,2412,"0","orth"
"459",18,2,3,26,987650,990136,2486,"0","orth"
"479",18,4,65,27,996767,999006,2239,"20","valid"
"4813",18,4,17,28,1002291,1005177,2886,"20","valid"
"5013",18,2,45,29,1010895,1013114,2219,"0","orth"
"5214",18,2,99,30,1018572,1021118,2546,"0","orth"
"5313",18,1,110,31,1024543,1026269,1726,"0","valid"
"5413",18,2,27,32,1029102,1031954,2852,"0","orth"
"569",18,4,77,33,1038491,1041584,3093,"20","valid"
"5711",18,1,56,34,1044783,1048368,3585,"0","valid"
"5811",18,2,39,35,1051880,1054992,3112,"0","orth"
"6012",18,1,32,36,1060770,1063789,3019,"0","valid"
"6215",18,6,91,37,1069780,1072312,2532,"20","mask"
"6313",18,6,103,38,1077330,1079823,2493,"20","mask"
"6414",18,6,1,39,1083642,1087400,3758,"20","mask"
"6611",18,1,104,40,1093005,1095217,2212,"0","valid"
"6712",18,4,131,41,1098403,1100548,2145,"20","valid"
"6812",18,5,96,42,1106100,1108925,2825,"20","orth"
"6914",18,1,74,43,1112084,1114723,2639,"0","valid"
"7014",18,2,105,44,1117755,1119981,2226,"0","orth"
"7111",18,6,67,45,1123120,1126699,3579,"20","mask"
"7213",18,6,19,46,1129591,1132417,2826,"20","mask"
"7413",18,4,47,47,1138408,1140327,1919,"20","valid"
"7613",18,5,24,48,1145805,1149317,3512,"20","orth"
"7813",18,3,112,49,1155241,1157407,2166,"0","mask"
"7913",18,5,30,50,1160380,1163066,2686,"20","orth"
"8113",18,3,70,51,1168517,1172155,3638,"0","mask"
"8213",18,5,102,52,1175641,1178913,3272,"20","orth"
"8312",18,3,34,53,1182078,1184610,2532,"0","mask"
"8510",18,5,126,54,1191122,1193961,2839,"20","orth"
"8614",18,1,128,55,1197266,1199745,2479,"0","valid"
"8710",18,5,78,56,1202597,1205196,2599,"20","orth"
"8813",18,6,85,57,1208488,1212327,3839,"20","mask"
"8910",18,1,8,58,1216599,1218978,2379,"0","valid"
"9112",18,3,64,59,1227521,1230274,2753,"0","mask"
"9213",18,4,113,60,1234679,1237851,3172,"20","valid"
"9312",18,4,59,61,1241583,1244282,2699,"20","valid"
"9412",18,3,100,62,1247467,1250139,2672,"0","mask"
"9512",18,1,80,63,1253518,1255364,1846,"0","valid"
"9611",18,6,31,64,1258637,1261336,2699,"20","mask"
"9813",18,6,49,65,1267067,1271292,4225,"20","mask"
"10015",18,2,57,66,1304053,1306332,2279,"0","orth"
"10115",18,3,76,67,1309564,1312543,2979,"0","mask"
"10213",18,3,118,68,1315835,1319414,3579,"0","mask"
"10314",18,3,124,69,1322880,1324679,1799,"0","mask"
"10411",18,5,36,70,1329877,1332156,2279,"20","orth"
"10611",18,3,16,71,1339800,1341812,2012,"0","mask"
"10812",18,1,50,72,1347817,1350189,2372,"0","valid"
"11010",18,5,90,73,1355741,1358746,3005,"20","orth"
"11115",18,4,125,74,1361785,1364464,2679,"20","valid"
"11215",18,3,28,75,1367676,1370175,2499,"0","mask"
"11412",18,2,21,76,1375540,1380525,4985,"0","orth"
"11614",18,1,92,77,1387575,1389781,2206,"0","valid"
"11713",18,5,138,78,1393173,1395699,2526,"20","orth"
"11814",18,2,123,79,1398931,1401177,2246,"0","orth"
"1199",18,2,93,80,1404223,1406222,1999,"0","orth"
"12014",18,3,106,81,1409641,1411913,2272,"0","mask"
"12115",18,6,73,82,1415285,1418544,3259,"20","mask"
"12215",18,1,26,83,1421976,1424182,2206,"0","valid"
"12413",18,3,130,84,1431253,1433745,2492,"0","mask"
"12510",18,1,98,85,1436944,1439470,2526,"0","valid"
"12611",18,5,18,86,1442295,1444707,2412,"20","orth"
"12811",18,3,136,87,1453504,1455823,2319,"0","mask"
"12915",18,4,23,88,1459382,1462688,3306,"20","valid"
"13117",18,4,107,89,1469825,1472337,2512,"20","valid"
"13215",18,1,44,90,1476062,1480734,4672,"0","valid"
"13412",18,5,48,91,1486739,1488185,1446,"20","orth"
"13612",18,2,111,92,1494369,1496555,2186,"0","orth"
"1379",18,1,14,93,1500067,1502806,2739,"0","valid"
"13912",18,5,108,94,1509130,1511783,2653,"20","orth"
"14012",18,5,120,95,1514682,1517067,2385,"20","orth"
"14117",18,6,121,96,1520166,1524538,4372,"20","mask"
"14215",18,1,122,97,1528150,1529856,1706,"0","valid"
"14314",18,2,117,98,1533395,1534954,1559,"0","orth"
"14412",18,2,9,99,1538733,1540785,2052,"0","orth"
"14615",18,1,134,100,1549535,1552214,2679,"0","valid"
"14711",18,1,68,101,1555747,1558079,2332,"0","valid"
"14810",18,4,89,102,1562484,1564696,2212,"20","valid"
"14916",18,4,95,103,1569195,1572507,3312,"20","valid"
"15011",18,6,13,104,1575999,1578478,2479,"20","mask"
"15214",18,5,132,105,1586515,1588927,2412,"20","orth"
"15311",18,6,97,106,1592333,1594685,2352,"20","mask"
"15412",18,2,75,107,1598018,1600650,2632,"0","orth"
"15513",18,4,53,108,1603735,1605781,2046,"20","valid"
"15715",18,5,42,109,1611992,1614438,2446,"20","orth"
"15913",18,6,115,110,1620276,1622701,2425,"20","mask"
"16014",18,2,81,111,1625954,1629173,3219,"0","orth"
"16116",18,6,109,112,1632251,1634831,2580,"20","mask"
"16211",18,4,71,113,1638069,1640315,2246,"20","valid"
"16317",18,4,29,114,1643707,1645933,2226,"20","valid"
"16514",18,3,40,115,1652544,1655083,2539,"0","mask"
"16715",18,4,35,116,1661107,1663326,2219,"20","valid"
"16914",18,2,129,117,1670857,1674229,3372,"0","orth"
"17014",18,1,2,118,1677668,1680001,2333,"0","valid"
"17211",18,1,62,119,1685485,1688071,2586,"0","valid"
"17312",18,3,46,120,1691750,1694342,2592,"0","mask"
"17512",18,3,82,121,1701353,1705711,4358,"0","mask"
"17613",18,6,7,122,1709443,1713202,3759,"20","mask"
"17812",18,4,11,123,1720152,1722365,2213,"20","valid"
"18013",18,2,135,124,1728729,1731568,2839,"0","orth"
"18117",18,1,20,125,1736593,1739645,3052,"0","valid"
"18311",18,4,101,126,1746276,1749708,3432,"20","valid"
"18412",18,3,52,127,1752993,1754972,1979,"0","mask"
"18612",18,4,119,128,1760804,1763343,2539,"20","valid"
"18713",18,3,22,129,1767675,1770887,3212,"0","mask"
"18913",18,5,114,130,1777051,1780124,3073,"20","orth"
"19012",18,2,51,131,1783256,1785415,2159,"0","orth"
"19215",18,3,4,132,1791386,1793878,2492,"0","mask"
"19411",18,5,54,133,1800123,1802155,2032,"20","orth"
"19612",18,3,94,134,1807840,1811292,3452,"0","mask"
"19712",18,2,87,135,1814791,1817023,2232,"0","orth"
"19812",18,3,58,136,1820242,1825833,5591,"0","mask"
"19913",18,4,41,137,1829972,1832184,2212,"20","valid"
"20114",18,2,63,138,1838069,1839888,1819,"0","orth"
"1080",19,2,26,1,3200718,3205456,4738,"0","orth"
"1250",19,2,134,2,3213240,3220857,7617,"0","orth"
"1380",19,4,58,3,3224283,3229894,5611,"20","valid"
"1460",19,3,129,4,3233266,3239144,5878,"0","mask"
"1560",19,5,101,5,3242442,3246035,3593,"20","orth"
"1660",19,4,136,6,3249287,3254191,4904,"20","valid"
"1760",19,5,71,7,3257117,3261676,4559,"20","orth"
"1870",19,1,7,8,3264934,3270825,5891,"0","valid"
"2021",19,6,6,9,3279469,3285193,5724,"20","mask"
"2214",19,4,4,10,3292418,3297762,5344,"20","valid"
"2416",19,2,116,11,3305659,3310757,5098,"0","orth"
"2512",19,2,86,12,3313749,3317128,3379,"0","orth"
"2617",19,1,1,13,3320767,3323906,3139,"0","valid"
"2813",19,2,50,14,3330737,3334189,3452,"0","orth"
"3014",19,6,126,15,3340066,3346304,6238,"20","mask"
"3111",19,3,57,16,3349443,3353488,4045,"0","mask"
"3214",19,3,33,17,3356714,3361692,4978,"0","mask"
"3413",19,3,99,18,3368389,3373261,4872,"0","mask"
"3512",19,5,131,19,3377260,3380805,3545,"20","orth"
"3613",19,1,109,20,3383750,3387669,3919,"0","valid"
"379",19,5,17,21,3391807,3396732,4925,"20","orth"
"3913",19,6,42,22,3403010,3411986,8976,"20","mask"
"4115",19,5,95,23,3423736,3437104,13368,"20","orth"
"4212",19,6,54,24,3440649,3443788,3139,"20","mask"
"4413",19,6,96,25,3450013,3455110,5097,"20","mask"
"4510",19,4,118,26,3458270,3461228,2958,"20","valid"
"4613",19,1,19,27,3464121,3467473,3352,"0","valid"
"4814",19,2,20,28,3476109,3486359,10250,"0","orth"
"5014",19,6,60,29,3493204,3498395,5191,"20","mask"
"5110",19,3,21,30,3502580,3506532,3952,"0","mask"
"5314",19,4,10,31,3513556,3518287,4731,"20","valid"
"5516",19,5,65,32,3525618,3530243,4625,"20","orth"
"5610",19,4,112,33,3533055,3536634,3579,"20","valid"
"5712",19,1,67,34,3539506,3542385,2879,"0","valid"
"5812",19,4,88,35,3545424,3549189,3765,"20","valid"
"5916",19,1,121,36,3552408,3555294,2886,"0","valid"
"6013",19,2,8,37,3558366,3561691,3325,"0","orth"
"6216",19,3,27,38,3569175,3573407,4232,"0","mask"
"6415",19,6,138,39,3579338,3584489,5151,"20","mask"
"6514",19,2,98,40,3587642,3591854,4212,"0","orth"
"6612",19,3,81,41,3595199,3598078,2879,"0","mask"
"6713",19,1,13,42,3604862,3610506,5644,"0","valid"
"6915",19,4,16,43,3617950,3622762,4812,"20","valid"
"7112",19,3,39,44,3631239,3639336,8097,"0","mask"
"739",19,6,72,45,3645754,3650605,4851,"20","mask"
"7414",19,2,14,46,3653984,3659848,5864,"0","orth"
