"","sub","item","cond","seq","word","wordID","FFD","SFD","GD","TVT","nfix1","nfix2","nfixAll","regress","skip_1st","skip_total","deg","prev"
"2597",2,50,3,18,8,"clone",214,NA,503,503,2,0,2,0,0,0,"0","mask"
"2614",2,51,4,116,11,"knife",222,222,222,222,1,0,1,0,0,0,"20","valid"
"2623",2,52,5,89,6,"crack",250,250,250,250,1,0,1,0,0,0,"20","orth"
"2654",2,54,1,78,10,"cruise",210,NA,294,294,2,0,2,0,0,0,"0","valid"
"2667",2,55,2,8,9,"flirt",282,282,282,282,1,0,1,0,0,0,"0","orth"
"2692",2,57,4,1,7,"swerve",235,235,235,380,1,1,2,1,0,0,"20","valid"
"2708",2,58,5,21,7,"swirl",345,345,345,703,1,2,3,1,0,0,"20","orth"
"2721",2,59,6,73,6,"smirk",110,110,110,110,1,0,1,0,0,0,"20","mask"
"2757",2,61,2,126,10,"fleece",220,220,220,220,1,0,1,0,0,0,"0","orth"
"2771",2,62,3,99,9,"third",207,207,207,366,1,1,2,1,0,0,"0","mask"
"2783",2,63,4,87,8,"heave",283,283,283,283,1,0,1,0,0,0,"20","valid"
"2800",2,64,5,17,11,"turf",362,362,362,362,1,0,1,0,0,0,"20","orth"
"2825",2,66,1,46,7,"hurl",377,377,377,377,1,0,1,0,0,0,"0","valid"
"2838",2,67,2,135,7,"glee",436,436,436,436,1,0,1,0,0,0,"0","orth"
"2855",2,68,3,42,11,"gleam",252,252,252,252,1,0,1,0,0,0,"0","mask"
"2868",2,69,4,59,8,"tweed",NA,NA,NA,146,0,1,1,1,1,0,"20","valid"
"2895",2,71,6,41,7,"nerve",161,161,161,161,1,0,1,0,0,0,"20","mask"
"2905",2,72,1,27,5,"youth",188,NA,287,287,2,0,2,0,0,0,"0","valid"
"2917",2,73,2,34,7,"sleet",176,NA,389,389,2,0,2,0,0,0,"0","orth"
"2929",2,74,3,74,6,"coil",147,147,147,147,1,0,1,0,0,0,"0","mask"
"2942",2,75,4,25,4,"dean",408,408,408,580,1,1,2,1,0,0,"20","valid"
"2972",2,77,6,125,7,"tech",322,322,322,322,1,0,1,0,0,0,"20","mask"
"3000",2,79,2,40,10,"clean",211,211,211,211,1,0,1,0,0,0,"0","orth"
"3013",2,80,3,26,7,"nurse",81,NA,334,334,2,0,2,0,0,0,"0","mask"
"3032",2,81,4,35,11,"cheat",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"3045",2,82,5,38,9,"cheek",217,NA,453,453,2,0,2,0,0,0,"20","orth"
"3073",2,84,1,93,7,"terse",355,355,355,355,1,0,1,0,0,0,"0","valid"
"3086",2,85,2,132,7,"fern",95,95,95,95,1,0,1,0,0,0,"0","orth"
"3117",2,87,4,107,10,"sheen",263,263,263,263,1,0,1,0,0,0,"20","valid"
"3135",2,88,5,127,12,"lynx",424,424,424,424,1,0,1,0,0,0,"20","orth"
"3170",2,91,2,128,5,"meek",248,248,248,248,1,0,1,0,0,0,"0","orth"
"3188",2,92,3,86,9,"keep",239,239,239,699,1,2,3,1,0,0,"0","mask"
"3204",2,93,4,96,9,"neat",204,204,204,204,1,0,1,0,0,0,"20","valid"
"3215",2,94,5,138,6,"gross",171,NA,369,860,2,2,4,1,0,0,"20","orth"
"3232",2,95,6,68,8,"whirl",240,240,240,240,1,0,1,0,0,0,"20","mask"
"3278",2,98,3,29,10,"seethe",252,NA,1344,1344,4,0,4,0,0,0,"0","mask"
"3285",2,99,4,121,4,"work",152,152,152,152,1,0,1,0,0,0,"20","valid"
"3315",2,101,6,12,5,"prove",201,201,201,201,1,0,1,0,0,0,"20","mask"
"3331",2,102,1,113,8,"churn",215,215,215,215,1,0,1,0,0,0,"0","valid"
"3342",2,103,2,101,8,"bump",226,NA,316,316,2,0,2,0,0,0,"0","orth"
"3383",2,106,5,76,7,"sash",228,228,228,228,1,0,1,0,0,0,"20","orth"
"3424",2,109,2,100,6,"reap",311,311,311,311,1,0,1,0,0,0,"0","orth"
"3452",2,111,4,56,6,"noon",146,146,146,292,1,1,2,1,0,0,"20","valid"
"3466",2,112,5,37,4,"musk",NA,NA,NA,241,0,1,1,1,1,0,"20","orth"
"3491",2,114,1,49,5,"brawl",238,238,238,437,1,1,2,1,0,0,"0","valid"
"3505",2,115,2,13,8,"chalk",230,NA,543,543,2,0,2,0,0,0,"0","orth"
"3541",2,118,5,57,6,"flake",208,208,208,208,1,0,1,0,0,0,"20","orth"
"3586",2,121,2,51,8,"glade",211,211,211,211,1,0,1,0,0,0,"0","orth"
"3609",2,123,4,85,6,"trunk",98,NA,525,525,2,0,2,0,0,0,"20","valid"
"3627",2,124,5,16,8,"sweet",229,229,229,229,1,0,1,0,0,0,"20","orth"
"3637",2,125,6,108,4,"slate",269,269,269,269,1,0,1,0,0,0,"20","mask"
"3653",2,126,1,109,9,"strut",242,242,242,480,1,2,3,1,0,0,"0","valid"
"3667",2,127,2,84,9,"speed",194,194,194,194,1,0,1,0,0,0,"0","orth"
"3740",2,132,1,83,7,"plate",179,NA,720,720,3,0,3,0,0,0,"0","valid"
"3767",2,134,3,117,6,"flinch",190,NA,416,416,2,0,2,0,0,0,"0","mask"
"3812",2,137,6,118,5,"slouch",251,251,251,251,1,0,1,0,0,0,"20","mask"
"3843",3,1,3,29,8,"hurt",190,190,190,469,1,1,2,1,0,0,"0","mask"
"3855",3,2,4,66,6,"type",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"3870",3,3,5,32,5,"dirt",NA,NA,NA,97,0,1,1,1,1,0,"20","orth"
"3904",3,5,1,78,9,"stern",122,122,122,258,1,1,2,1,0,0,"0","valid"
"3919",3,6,2,21,8,"merge",NA,NA,NA,132,0,1,1,1,1,0,"0","orth"
"3932",3,7,3,73,8,"surge",323,323,323,1384,1,5,6,1,0,0,"0","mask"
"3950",3,8,4,16,12,"church",214,214,214,214,1,0,1,0,0,0,"20","valid"
"3969",3,9,5,57,14,"burp",317,317,317,317,1,0,1,0,0,0,"20","orth"
"3994",3,11,1,62,5,"skirt",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"4014",3,12,2,43,11,"serve",161,161,161,161,1,0,1,0,0,0,"0","orth"
"4023",3,13,3,90,5,"worst",223,223,223,813,1,3,4,1,0,0,"0","mask"
"4042",3,14,4,94,8,"purge",195,195,195,195,1,0,1,0,0,0,"20","valid"
"4053",3,15,5,136,4,"term",222,222,222,358,1,1,2,1,0,0,"20","orth"
"4072",3,16,6,13,11,"twirl",NA,NA,NA,157,0,1,1,1,1,0,"20","mask"
"4084",3,17,1,5,6,"plea",149,149,149,149,1,0,1,0,0,0,"0","valid"
"4099",3,18,2,101,6,"sleeve",151,151,151,296,1,1,2,1,0,0,"0","orth"
"4127",3,20,4,2,10,"jerk",181,181,181,181,1,0,1,0,0,0,"20","valid"
"4140",3,21,5,52,9,"sneak",NA,NA,NA,NA,0,0,0,0,1,1,"20","orth"
"4154",3,22,6,84,10,"steam",261,261,261,429,1,1,2,1,0,0,"20","mask"
"4164",3,23,1,54,5,"beef",159,159,159,159,1,0,1,0,0,0,"0","valid"
"4177",3,24,2,39,6,"burst",245,245,245,245,1,0,1,0,0,0,"0","orth"
"4189",3,25,3,34,5,"bleak",206,NA,381,381,2,0,2,0,0,0,"0","mask"
"4204",3,26,4,72,5,"sleek",211,211,211,211,1,0,1,0,0,0,"20","valid"
"4219",3,27,5,131,5,"steep",361,NA,484,484,2,0,2,0,0,0,"20","orth"
"4233",3,28,6,82,5,"veal",437,437,437,694,1,2,3,1,0,0,"20","mask"
"4249",3,29,1,47,8,"cleave",192,192,192,192,1,0,1,0,0,0,"0","valid"
"4258",3,30,2,124,4,"bleach",251,251,251,251,1,0,1,0,0,0,"0","orth"
"4271",3,31,3,23,6,"shrew",409,409,409,409,1,0,1,0,0,0,"0","mask"
"4286",3,32,4,93,7,"slur",224,224,224,224,1,0,1,0,0,0,"20","valid"
"4304",3,33,5,87,9,"bush",236,236,236,494,1,1,2,1,0,0,"20","orth"
"4318",3,34,6,111,7,"cold",346,346,346,869,1,3,4,1,0,0,"20","mask"
"4333",3,35,1,127,8,"part",149,149,149,149,1,0,1,0,0,0,"0","valid"
"4373",3,38,4,106,8,"wild",NA,NA,NA,185,0,1,1,1,1,0,"20","valid"
"4400",3,40,6,129,10,"team",NA,NA,NA,156,0,1,1,1,1,0,"20","mask"
"4414",3,41,1,71,6,"step",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"4430",3,42,2,50,8,"blunt",130,130,130,130,1,0,1,0,0,0,"0","orth"
"4453",3,44,4,26,7,"death",164,164,164,164,1,0,1,0,0,0,"20","valid"
"4467",3,45,5,30,8,"draft",148,NA,258,258,2,0,2,0,0,0,"20","orth"
"4477",3,46,6,44,5,"fifth",225,225,225,225,1,0,1,0,0,0,"20","mask"
"4495",3,47,1,59,7,"ghost",142,142,142,364,1,1,2,1,0,0,"0","valid"
"4520",3,49,3,112,10,"spoon",210,210,210,647,1,2,3,1,0,0,"0","mask"
"4534",3,50,4,121,8,"clone",NA,NA,NA,139,0,1,1,1,1,0,"20","valid"
"4559",3,52,6,68,6,"crack",215,215,215,215,1,0,1,0,0,0,"20","mask"
"4572",3,53,1,10,6,"flask",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"4590",3,54,2,89,10,"cruise",198,198,198,198,1,0,1,0,0,0,"0","orth"
"4603",3,55,3,63,9,"flirt",271,271,271,441,1,1,2,1,0,0,"0","mask"
"4614",3,56,4,28,8,"mirth",337,337,337,776,1,2,3,1,0,0,"20","valid"
"4628",3,57,5,42,7,"swerve",226,226,226,226,1,0,1,0,0,0,"20","orth"
"4644",3,58,6,20,7,"swirl",171,171,171,354,1,1,2,1,0,0,"20","mask"
"4657",3,59,1,85,6,"smirk",156,156,156,156,1,0,1,0,0,0,"0","valid"
"4673",3,60,2,104,5,"speak",197,197,197,463,1,1,2,1,0,0,"0","orth"
"4694",3,61,3,46,10,"fleece",409,409,409,763,1,2,3,1,0,0,"0","mask"
"4708",3,62,4,81,9,"third",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"4720",3,63,5,133,8,"heave",262,262,262,262,1,0,1,0,0,0,"20","orth"
"4736",3,64,6,45,11,"turf",208,208,208,208,1,0,1,0,0,0,"20","mask"
"4748",3,65,1,60,8,"teeth",207,207,207,207,1,0,1,0,0,0,"0","valid"
"4761",3,66,2,55,7,"hurl",NA,NA,NA,177,0,1,1,1,1,0,"0","orth"
"4774",3,67,3,48,7,"glee",729,729,729,1381,1,2,3,1,0,0,"0","mask"
"4791",3,68,4,7,11,"gleam",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"4804",3,69,5,31,8,"tweed",286,286,286,547,1,1,2,1,0,0,"20","orth"
"4832",3,71,1,38,7,"nerve",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"4842",3,72,2,11,5,"youth",256,256,256,256,1,0,1,0,0,0,"0","orth"
"4854",3,73,3,51,7,"sleet",296,296,296,296,1,0,1,0,0,0,"0","mask"
"4866",3,74,4,49,6,"coil",371,371,371,671,1,1,2,1,0,0,"20","valid"
"4879",3,75,5,75,4,"dean",249,249,249,249,1,0,1,0,0,0,"20","orth"
"4896",3,76,6,117,7,"glean",196,196,196,568,1,2,3,1,0,0,"20","mask"
"4925",3,78,2,56,8,"thirst",226,226,226,226,1,0,1,0,0,0,"0","orth"
"4937",3,79,3,105,10,"clean",156,NA,317,459,2,1,3,1,0,0,"0","mask"
"4950",3,80,4,17,7,"nurse",174,174,174,174,1,0,1,0,0,0,"20","valid"
"4969",3,81,5,115,11,"cheat",NA,NA,NA,NA,0,0,0,0,1,1,"20","orth"
"4982",3,82,6,9,9,"cheek",266,266,266,266,1,0,1,0,0,0,"20","mask"
"4997",3,83,1,25,9,"cleat",211,211,211,211,1,0,1,0,0,0,"0","valid"
"5011",3,84,2,110,7,"terse",204,204,204,875,1,3,4,1,0,0,"0","orth"
"5024",3,85,3,128,7,"fern",265,NA,651,845,3,1,4,1,0,0,"0","mask"
"5037",3,86,4,36,5,"deal",249,249,249,249,1,0,1,0,0,0,"20","valid"
"5054",3,87,5,107,10,"sheen",275,275,275,275,1,0,1,0,0,0,"20","orth"
"5072",3,88,6,41,12,"lynx",161,161,161,161,1,0,1,0,0,0,"20","mask"
"5086",3,89,1,108,10,"cease",208,208,208,413,1,1,2,1,0,0,"0","valid"
"5109",3,91,3,135,5,"meek",NA,NA,NA,184,0,1,1,1,1,0,"0","mask"
"5127",3,92,4,33,9,"keep",NA,NA,NA,231,0,1,1,1,1,0,"20","valid"
"5143",3,93,5,134,9,"neat",223,223,223,223,1,0,1,0,0,0,"20","orth"
"5154",3,94,6,109,6,"gross",308,NA,453,803,2,1,3,1,0,0,"20","mask"
"5170",3,95,1,114,8,"whirl",173,173,173,477,1,2,3,1,0,0,"0","valid"
"5183",3,96,2,65,6,"teal",322,322,322,322,1,0,1,0,0,0,"0","orth"
"5203",3,97,3,122,11,"worth",180,180,180,466,1,2,3,1,0,0,"0","mask"
"5215",3,98,4,24,10,"seethe",182,182,182,839,1,3,4,1,0,0,"20","valid"
"5222",3,99,5,88,4,"work",205,205,205,205,1,0,1,0,0,0,"20","orth"
"5242",3,100,6,96,7,"dwarf",235,235,235,235,1,0,1,0,0,0,"20","mask"
"5253",3,101,1,123,5,"prove",163,163,163,163,1,0,1,0,0,0,"0","valid"
"5269",3,102,2,3,8,"churn",182,182,182,182,1,0,1,0,0,0,"0","orth"
"5281",3,103,3,138,8,"bump",172,172,172,702,1,3,4,1,0,0,"0","mask"
"5298",3,104,4,113,11,"nine",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"5310",3,105,5,69,6,"horn",243,243,243,410,1,1,2,1,0,0,"20","orth"
"5322",3,106,6,80,7,"sash",183,183,183,183,1,0,1,0,0,0,"20","mask"
"5335",3,107,1,14,8,"spit",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"5348",3,108,2,116,6,"rake",449,449,449,449,1,0,1,0,0,0,"0","orth"
"5379",3,110,4,4,7,"plum",217,217,217,217,1,0,1,0,0,0,"20","valid"
"5391",3,111,5,64,6,"noon",330,330,330,330,1,0,1,0,0,0,"20","orth"
"5405",3,112,6,130,4,"musk",348,348,348,348,1,0,1,0,0,0,"20","mask"
"5422",3,113,1,19,8,"blast",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"5446",3,115,3,119,8,"chalk",264,264,264,264,1,0,1,0,0,0,"0","mask"
"5469",3,117,5,91,6,"faint",203,203,203,203,1,0,1,0,0,0,"20","orth"
"5482",3,118,6,120,6,"flake",337,337,337,1215,1,1,2,1,0,0,"20","mask"
"5500",3,119,1,37,9,"flood",87,87,87,240,1,1,2,1,0,0,"0","valid"
"5514",3,120,2,100,7,"frame",207,207,207,513,1,2,3,1,0,0,"0","orth"
"5528",3,121,3,70,8,"glade",116,116,116,529,1,2,3,1,0,0,"0","mask"
"5540",3,122,4,86,6,"truth",148,148,148,148,1,0,1,0,0,0,"20","valid"
"5551",3,123,5,99,6,"trunk",146,146,146,324,1,1,2,1,0,0,"20","orth"
"5569",3,124,6,103,8,"sweet",247,247,247,247,1,0,1,0,0,0,"20","mask"
"5596",3,126,2,61,9,"strut",NA,NA,NA,NA,0,0,0,0,1,1,"0","orth"
"5609",3,127,3,40,9,"speed",202,202,202,380,1,1,2,1,0,0,"0","mask"
"5634",3,129,5,67,5,"prone",257,257,257,522,1,2,3,1,0,0,"20","orth"
"5654",3,130,6,132,12,"marsh",235,235,235,434,1,1,2,1,0,0,"20","mask"
"5668",3,131,1,15,9,"shelf",189,189,189,189,1,0,1,0,0,0,"0","valid"
"5682",3,132,2,137,7,"plate",397,397,397,397,1,0,1,0,0,0,"0","orth"
"5695",3,133,3,12,8,"drive",236,236,236,236,1,0,1,0,0,0,"0","mask"
"5709",3,134,4,98,6,"flinch",206,206,206,401,1,1,2,1,0,0,"20","valid"
"5725",3,135,5,95,6,"clench",369,NA,567,765,2,1,3,1,0,0,"20","orth"
"5743",3,136,6,97,7,"client",223,223,223,223,1,0,1,0,0,0,"20","mask"
"5754",3,137,1,58,5,"slouch",172,172,172,332,1,1,2,1,0,0,"0","valid"
"5784",4,1,4,107,8,"hurt",235,235,235,235,1,0,1,0,0,0,"20","valid"
"5796",4,2,5,79,6,"type",NA,NA,NA,NA,0,0,0,0,1,1,"20","orth"
"5811",4,3,6,133,5,"dirt",323,323,323,451,1,1,2,1,0,0,"20","mask"
"5829",4,4,1,64,8,"purse",383,383,383,383,1,0,1,0,0,0,"0","valid"
"5844",4,5,2,46,9,"stern",NA,NA,NA,186,0,1,1,1,1,0,"0","orth"
"5871",4,7,4,123,8,"surge",405,405,405,405,1,0,1,0,0,0,"20","valid"
"5889",4,8,5,120,12,"church",212,NA,370,370,2,0,2,0,0,0,"20","orth"
"5908",4,9,6,15,14,"burp",NA,NA,NA,113,0,1,1,1,1,0,"20","mask"
"5922",4,10,1,9,11,"noun",341,341,341,341,1,0,1,0,0,0,"0","valid"
"5933",4,11,2,102,5,"skirt",166,NA,347,347,2,0,2,0,0,0,"0","orth"
"5980",4,14,5,40,8,"purge",688,688,688,882,1,1,2,1,0,0,"20","orth"
"5991",4,15,6,45,4,"term",304,304,304,304,1,0,1,0,0,0,"20","mask"
"6010",4,16,1,31,11,"twirl",339,339,339,339,1,0,1,0,0,0,"0","valid"
"6022",4,17,2,124,6,"plea",NA,NA,NA,310,0,1,1,1,1,0,"0","orth"
"6039",4,18,3,29,6,"sleeve",NA,NA,NA,183,0,1,1,1,1,0,"0","mask"
"6050",4,19,4,56,6,"sweep",149,NA,339,339,2,0,2,0,0,0,"20","valid"
"6067",4,20,5,91,10,"jerk",354,354,354,354,1,0,1,0,0,0,"20","orth"
"6079",4,21,6,27,9,"sneak",304,304,304,304,1,0,1,0,0,0,"20","mask"
"6102",4,23,2,125,5,"beef",NA,NA,NA,NA,0,0,0,0,1,1,"0","orth"
"6115",4,24,3,1,6,"burst",244,244,244,244,1,0,1,0,0,0,"0","mask"
"6127",4,25,4,60,5,"bleak",280,280,280,280,1,0,1,0,0,0,"20","valid"
"6169",4,28,1,94,5,"veal",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"6185",4,29,2,96,8,"cleave",278,NA,376,376,2,0,2,0,0,0,"0","orth"
"6194",4,30,3,99,4,"bleach",446,446,446,446,1,0,1,0,0,0,"0","mask"
"6207",4,31,4,10,6,"shrew",539,539,539,539,1,0,1,0,0,0,"20","valid"
"6223",4,32,5,6,7,"slur",324,324,324,324,1,0,1,0,0,0,"20","orth"
"6241",4,33,6,48,9,"bush",NA,NA,NA,NA,0,0,0,0,1,1,"20","mask"
"6255",4,34,1,74,7,"cold",205,205,205,205,1,0,1,0,0,0,"0","valid"
