"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy","deg","prev"
"66",2,27,4,12,1,3275812,3279207,3395,0,0,1,"20","valid"
"67",2,21,4,13,1,3318413,3321955,3542,1,1,1,"20","valid"
"68",2,31,2,14,1,3356997,3360312,3315,0,0,1,"0","orth"
"69",2,30,1,15,1,3379829,3382895,3066,1,1,1,"0","valid"
"70",2,4,5,16,1,3410356,3413032,2676,0,0,1,"20","orth"
"71",2,32,3,17,1,3478598,3482639,4041,1,1,1,"0","mask"
"72",2,8,3,18,1,3522476,3527564,5088,0,0,1,"0","mask"
"73",2,18,1,19,1,3538547,3541420,2873,0,0,1,"0","valid"
"74",2,29,6,20,1,3606540,3611327,4787,1,1,1,"20","mask"
"75",2,42,1,21,1,3618839,3622800,3961,1,0,0,"0","valid"
"76",2,12,1,22,1,3646000,3650996,4996,0,0,1,"0","valid"
"77",2,44,3,23,1,3663480,3666820,3340,1,1,1,"0","mask"
"78",2,36,1,24,1,3674248,3679174,4926,1,1,1,"0","valid"
"79",2,22,5,25,1,3686969,3690005,3036,1,1,1,"20","orth"
"80",2,46,5,26,1,3698209,3701842,3633,0,0,1,"20","orth"
"81",2,9,4,27,1,3717035,3721668,4633,1,0,0,"20","valid"
"82",2,14,3,28,1,3797223,3804019,6796,1,1,1,"0","mask"
"83",2,19,2,29,1,3817896,3823133,5237,1,0,0,"0","orth"
"84",2,34,5,30,1,3831768,3837250,5482,1,1,1,"20","orth"
"85",2,15,4,31,1,3843868,3847799,3931,1,1,1,"20","valid"
"86",2,3,4,32,1,3854173,3857755,3582,1,1,1,"20","valid"
"87",2,10,5,33,1,3883114,3886671,3557,0,0,1,"20","orth"
"88",2,54,1,34,1,3906781,3914432,7651,1,1,1,"0","valid"
"89",2,11,6,35,1,3921030,3924166,3136,0,0,1,"20","mask"
"90",2,13,2,36,1,3932216,3937335,5119,1,1,1,"0","orth"
"91",2,53,6,37,1,3991960,3995733,3773,0,0,1,"20","mask"
"92",2,52,5,38,1,4002043,4006105,4062,1,1,1,"20","orth"
"93",2,40,5,39,1,4021378,4024929,3551,0,0,1,"20","orth"
"94",2,1,2,40,1,4081018,4084769,3751,0,0,1,"0","orth"
"95",2,48,1,41,1,4129039,4135742,6703,0,0,1,"0","valid"
"96",2,23,6,42,1,4142635,4145806,3171,0,0,1,"20","mask"
"97",2,16,5,43,1,4154287,4157402,3115,0,0,1,"20","orth"
"98",2,5,6,44,1,4176471,4179965,3494,0,0,1,"20","mask"
"99",2,41,6,45,1,4204162,4207764,3602,0,0,1,"20","mask"
"100",2,24,1,46,1,4215572,4219107,3535,0,0,1,"0","valid"
"101",2,2,3,47,1,4247391,4252056,4665,1,1,1,"0","mask"
"102",2,51,4,48,1,4258500,4262057,3557,0,0,1,"20","valid"
"103",2,28,5,49,1,4317504,4321832,4328,0,0,1,"20","orth"
"104",2,47,6,50,1,4374754,4378358,3604,1,1,1,"20","mask"
"105",2,49,2,51,1,4386550,4389678,3128,0,0,1,"0","orth"
"106",2,45,4,52,1,4396541,4399986,3445,1,1,1,"20","valid"
"107",2,43,2,53,1,4414978,4417700,2722,0,0,1,"0","orth"
"108",2,7,2,54,1,4439702,4444218,4516,1,1,1,"0","orth"
"109",3,20,4,1,1,8037249,8039541,2292,1,1,1,"20","valid"
"110",3,17,1,2,1,8057318,8059310,1992,1,1,1,"0","valid"
"111",3,51,5,3,1,8079247,8080926,1679,0,0,1,"20","orth"
"112",3,53,1,4,1,8091695,8093436,1741,0,0,1,"0","valid"
"113",3,16,6,5,1,8109177,8111670,2493,0,0,1,"20","mask"
"114",3,8,4,6,1,8130066,8131906,1840,0,0,1,"20","valid"
"115",3,6,2,7,1,8159160,8161175,2015,0,0,1,"0","orth"
"116",3,31,3,8,1,8173526,8176404,2878,0,0,1,"0","mask"
"117",3,44,4,9,1,8195486,8197576,2090,1,1,1,"20","valid"
"118",3,10,6,10,1,8204385,8206992,2607,0,0,1,"20","mask"
"119",3,1,3,11,1,8220696,8222833,2137,0,0,1,"0","mask"
"120",3,45,5,12,1,8229194,8231438,2244,1,1,1,"20","orth"
"121",3,3,5,13,1,8244323,8246105,1782,1,1,1,"20","orth"
"122",3,25,3,14,1,8260758,8262398,1640,0,0,1,"0","mask"
"123",3,24,2,15,1,8293460,8295999,2539,0,0,1,"0","orth"
"124",3,12,2,16,1,8319693,8321825,2132,0,0,1,"0","orth"
"125",3,46,6,17,1,8329284,8332546,3262,0,0,1,"20","mask"
"126",3,29,1,18,1,8352065,8354404,2339,1,1,1,"0","valid"
"127",3,42,2,19,1,8373240,8376284,3044,1,1,1,"0","orth"
"128",3,21,5,20,1,8386674,8389120,2446,1,1,1,"20","orth"
"129",3,4,6,21,1,8394757,8396409,1652,0,0,1,"20","mask"
"130",3,23,1,22,1,8401088,8402828,1740,0,0,1,"0","valid"
"131",3,9,5,23,1,8419441,8421407,1966,1,1,1,"20","orth"
"132",3,47,1,24,1,8433559,8435321,1762,1,1,1,"0","valid"
"133",3,11,1,25,1,8450067,8453821,3754,0,1,0,"0","valid"
"134",3,2,4,26,1,8504547,8506715,2168,1,1,1,"20","valid"
"135",3,52,6,27,1,8520303,8522389,2086,1,1,1,"20","mask"
"136",3,41,1,28,1,8541479,8543061,1582,0,0,1,"0","valid"
"137",3,26,4,29,1,8549330,8553238,3908,1,1,1,"20","valid"
"138",3,7,3,30,1,8562157,8566733,4576,1,1,1,"0","mask"
"139",3,39,5,31,1,8573569,8576091,2522,1,1,1,"20","orth"
"140",3,19,3,32,1,8588102,8590365,2263,1,1,1,"0","mask"
"141",3,43,3,33,1,8599842,8602140,2298,0,0,1,"0","mask"
"142",3,5,1,34,1,8609594,8611929,2335,0,0,1,"0","valid"
"143",3,28,6,35,1,8634958,8637301,2343,0,0,1,"20","mask"
"144",3,48,2,36,1,8642090,8644497,2407,0,0,1,"0","orth"
"145",3,22,6,37,1,8651120,8653048,1928,1,1,1,"20","mask"
"146",3,33,5,38,1,8672081,8674380,2299,0,0,1,"20","orth"
"147",3,54,2,39,1,8685673,8688601,2928,1,1,1,"0","orth"
"148",3,13,3,40,1,8696852,8698684,1832,1,1,1,"0","mask"
"149",3,32,4,41,1,8716416,8718352,1936,1,1,1,"20","valid"
"150",3,14,4,42,1,8725332,8727160,1828,1,1,1,"20","valid"
"151",3,18,2,43,1,8775675,8777917,2242,0,1,0,"0","orth"
"152",3,38,4,44,1,8813018,8815189,2171,0,0,1,"20","valid"
"153",3,34,6,45,1,8850212,8852848,2636,1,1,1,"20","mask"
"154",3,49,3,46,1,8860518,8862110,1592,0,0,1,"0","mask"
"155",3,50,4,47,1,8919304,8921162,1858,1,1,1,"20","valid"
"156",3,30,2,48,1,8939840,8941655,1815,1,1,1,"0","orth"
"157",3,37,3,49,1,8948958,8950924,1966,1,1,1,"0","mask"
"158",3,36,2,50,1,8957306,8959556,2250,1,1,1,"0","orth"
"159",3,35,1,51,1,8965770,8968345,2575,0,0,1,"0","valid"
"160",3,40,6,52,1,8984942,8987486,2544,0,0,1,"20","mask"
"161",3,27,5,53,1,9000890,9003012,2122,0,0,1,"20","orth"
"162",3,15,5,54,1,9037309,9039352,2043,1,1,1,"20","orth"
"163",4,24,3,1,1,3543914,3546622,2708,0,0,1,"0","mask"
"164",4,48,3,2,1,3569583,3572342,2759,0,0,1,"0","mask"
"165",4,32,5,3,1,3587854,3591013,3159,1,1,1,"20","orth"
"166",4,40,1,4,1,3609764,3612504,2740,0,0,1,"0","valid"
"167",4,10,1,5,1,3620875,3624140,3265,0,0,1,"0","valid"
"168",4,31,4,6,1,3632061,3634869,2808,0,0,1,"20","valid"
"169",4,50,5,7,1,3651501,3654067,2566,1,1,1,"20","orth"
"170",4,9,6,8,1,3676110,3679705,3595,1,1,1,"20","mask"
"171",4,38,5,9,1,3754330,3756704,2374,0,0,1,"20","orth"
"172",4,35,2,10,1,3763233,3766405,3172,0,0,1,"0","orth"
"173",4,21,6,11,1,3773282,3776092,2810,1,1,1,"20","mask"
"174",4,18,3,12,1,3790899,3793383,2484,0,0,1,"0","mask"
"175",4,16,1,13,1,3806169,3808910,2741,0,0,1,"0","valid"
"176",4,36,3,14,1,3823134,3826211,3077,1,1,1,"0","mask"
"177",4,14,5,15,1,3876537,3879599,3062,1,1,1,"20","orth"
"178",4,54,3,16,1,3893032,3900013,6981,1,1,1,"0","mask"
"179",4,15,6,17,1,3920718,3923510,2792,1,1,1,"20","mask"
"180",4,5,2,18,1,3929465,3932461,2996,0,0,1,"0","orth"
"181",4,37,4,19,1,3940228,3943181,2953,1,1,1,"20","valid"
"182",4,33,6,20,1,3950548,3953784,3236,0,0,1,"20","mask"
"183",4,42,3,21,1,3960836,3964401,3565,1,1,1,"0","mask"
"184",4,19,4,22,1,4013013,4015883,2870,1,0,0,"20","valid"
"185",4,51,6,23,1,4031455,4034028,2573,0,0,1,"20","mask"
"186",4,25,4,24,1,4049334,4051910,2576,0,0,1,"20","valid"
"187",4,22,1,25,1,4058746,4061397,2651,1,1,1,"0","valid"
"188",4,4,1,26,1,4085098,4087695,2597,0,0,1,"0","valid"
"189",4,49,4,27,1,4096232,4098865,2633,0,0,1,"20","valid"
"190",4,12,3,28,1,4141720,4144820,3100,0,0,1,"0","mask"
"191",4,45,6,29,1,4183346,4186165,2819,1,1,1,"20","mask"
"192",4,43,4,30,1,4193138,4195674,2536,0,0,1,"20","valid"
"193",4,34,1,31,1,4204789,4208070,3281,1,1,1,"0","valid"
"194",4,2,5,32,1,4249456,4252613,3157,1,1,1,"20","orth"
"195",4,39,6,33,1,4265759,4268628,2869,1,1,1,"20","mask"
"196",4,53,2,34,1,4276479,4278966,2487,0,0,1,"0","orth"
"197",4,46,1,35,1,4285023,4288084,3061,0,0,1,"0","valid"
"198",4,20,5,36,1,4349515,4352358,2843,1,1,1,"20","orth"
"199",4,41,2,37,1,4360120,4363146,3026,0,0,1,"0","orth"
"200",4,28,1,38,1,4377144,4379989,2845,0,0,1,"0","valid"
"201",4,29,2,39,1,4393344,4396080,2736,1,1,1,"0","orth"
"202",4,30,3,40,1,4414408,4416972,2564,1,1,1,"0","mask"
"203",4,11,2,41,1,4438993,4441939,2946,0,1,0,"0","orth"
"204",4,1,4,42,1,4480970,4483856,2886,0,0,1,"20","valid"
"205",4,13,4,43,1,4496883,4499642,2759,1,1,1,"20","valid"
"206",4,52,1,44,1,4530387,4533371,2984,1,1,1,"0","valid"
"207",4,8,5,45,1,4582541,4585497,2956,0,0,1,"20","orth"
"208",4,7,4,46,1,4606270,4609496,3226,1,1,1,"20","valid"
"209",4,17,2,47,1,4616946,4619733,2787,1,1,1,"0","orth"
"210",4,23,2,48,1,4626560,4629169,2609,0,0,1,"0","orth"
"211",4,6,3,49,1,4637808,4640699,2891,0,0,1,"0","mask"
"212",4,44,5,50,1,4660172,4663083,2911,1,1,1,"20","orth"
"213",4,3,6,51,1,4690363,4693112,2749,1,1,1,"20","mask"
"214",4,47,2,52,1,4699871,4702523,2652,1,1,1,"0","orth"
"215",4,26,5,53,1,4709054,4711761,2707,1,1,1,"20","orth"
"216",4,27,6,54,1,4719151,4721756,2605,0,0,1,"20","mask"
"217",5,10,2,1,1,6058100,6061144,3044,0,0,1,"0","orth"
"218",5,22,2,2,1,6090681,6093305,2624,1,1,1,"0","orth"
"219",5,7,5,3,1,6100249,6104405,4156,1,1,1,"20","orth"
"220",5,53,3,4,1,6119573,6122066,2493,0,0,1,"0","mask"
"221",5,28,2,5,1,6136985,6139447,2462,0,0,1,"0","orth"
"222",5,44,6,6,1,6156837,6159459,2622,1,1,1,"20","mask"
"223",5,41,3,7,1,6169501,6171873,2372,0,0,1,"0","mask"
"224",5,33,1,8,1,6207790,6210392,2602,0,0,1,"0","valid"
"225",5,8,6,9,1,6273133,6275762,2629,0,0,1,"20","mask"
"226",5,36,4,10,1,6289300,6291991,2691,1,1,1,"20","valid"
"227",5,25,5,11,1,6343632,6346929,3297,0,0,1,"20","orth"
"228",5,16,2,12,1,6355130,6357512,2382,0,0,1,"0","orth"
"229",5,27,1,13,1,6368173,6370721,2548,0,0,1,"0","valid"
"230",5,43,5,14,1,6377883,6380585,2702,0,0,1,"20","orth"
"231",5,47,3,15,1,6401901,6404276,2375,1,1,1,"0","mask"
"232",5,15,1,16,1,6455502,6458443,2941,1,1,1,"0","valid"
"233",5,4,2,17,1,6478158,6480393,2235,0,0,1,"0","orth"
"234",5,24,4,18,1,6493582,6496068,2486,0,0,1,"20","valid"
"235",5,26,6,19,1,6524260,6528545,4285,1,0,0,"20","mask"
"236",5,38,6,20,1,6536561,6538746,2185,0,0,1,"20","mask"
"237",5,29,3,21,1,6554479,6557118,2639,1,1,1,"0","mask"
"238",5,11,3,22,1,6589823,6591946,2123,0,0,1,"0","mask"
"239",5,18,4,23,1,6618565,6621004,2439,0,0,1,"20","valid"
"240",5,12,4,24,1,6650654,6653032,2378,0,0,1,"20","valid"
"241",5,50,6,25,1,6659643,6662820,3177,1,1,1,"20","mask"
"242",5,17,3,26,1,6736934,6745422,8488,1,1,1,"0","mask"
"243",5,13,5,27,1,6768758,6771087,2329,1,1,1,"20","orth"
"244",5,39,1,28,1,6791325,6793964,2639,1,1,1,"0","valid"
"245",5,21,1,29,1,6801691,6804168,2477,1,1,1,"0","valid"
"246",5,5,3,30,1,6813145,6815877,2732,0,0,1,"0","mask"
"247",5,3,1,31,1,6865791,6868430,2639,1,1,1,"0","valid"
"248",5,37,5,32,1,6883995,6886873,2878,1,1,1,"20","orth"
"249",5,6,4,33,1,6902432,6904893,2461,0,0,1,"20","valid"
"250",5,45,1,34,1,6912700,6917687,4987,1,1,1,"0","valid"
"251",5,49,5,35,1,6926699,6928988,2289,0,0,1,"20","orth"
"252",5,1,5,36,1,6966829,6969821,2992,0,0,1,"20","orth"
"253",5,31,5,37,1,6993701,6995991,2290,0,0,1,"20","orth"
"254",5,14,6,38,1,7056523,7059846,3323,1,1,1,"20","mask"
"255",5,30,4,39,1,7072748,7074805,2057,1,1,1,"20","valid"
"256",5,48,4,40,1,7081338,7084364,3026,0,0,1,"20","valid"
"257",5,54,4,41,1,7097727,7100512,2785,1,1,1,"20","valid"
"258",5,23,3,42,1,7127118,7129786,2668,0,0,1,"0","mask"
"259",5,9,1,43,1,7153996,7157145,3149,1,1,1,"0","valid"
"260",5,42,4,44,1,7165170,7170621,5451,1,0,0,"20","valid"
"261",5,20,6,45,1,7183578,7189101,5523,1,1,1,"20","mask"
"262",5,35,3,46,1,7203421,7206912,3491,0,0,1,"0","mask"
"263",5,19,5,47,1,7217804,7221868,4064,1,1,1,"20","orth"
"264",5,2,6,48,1,7229247,7233366,4119,1,1,1,"20","mask"
"265",5,46,2,49,1,7273583,7276002,2419,0,0,1,"0","orth"
"266",5,52,2,50,1,7291926,7294568,2642,1,1,1,"0","orth"
"267",5,51,1,51,1,7301797,7304410,2613,0,0,1,"0","valid"
"268",5,34,2,52,1,7317154,7320146,2992,1,1,1,"0","orth"
"269",5,32,6,53,1,7381537,7384234,2697,1,1,1,"20","mask"
"270",5,40,2,54,1,7405034,7408245,3211,0,0,1,"0","orth"
"271",6,46,3,1,1,8241848,8246037,4189,0,0,1,"0","mask"
"272",6,17,4,2,1,8269472,8272197,2725,1,1,1,"20","valid"
"273",6,34,3,3,1,8330136,8332953,2817,1,1,1,"0","mask"
"274",6,31,6,4,1,8355331,8362649,7318,0,0,1,"20","mask"
"275",6,45,2,5,1,8377198,8379742,2544,1,1,1,"0","orth"
"276",6,49,6,6,1,8386310,8388584,2274,0,0,1,"20","mask"
"277",6,29,4,7,1,8418173,8420992,2819,1,1,1,"20","valid"
"278",6,15,2,8,1,8441879,8444350,2471,1,1,1,"0","orth"
"279",6,30,5,9,1,8452259,8454453,2194,1,1,1,"20","orth"
"280",6,51,2,10,1,8472602,8475288,2686,0,0,1,"0","orth"
"281",6,47,4,11,1,8510413,8512679,2266,1,1,1,"20","valid"
"282",6,21,2,12,1,8519932,8522222,2290,1,1,1,"0","orth"
"283",6,9,2,13,1,8535185,8538089,2904,1,1,1,"0","orth"
"284",6,24,5,14,1,8545685,8549126,3441,0,0,1,"20","orth"
"285",6,12,5,15,1,8561918,8564279,2361,0,0,1,"20","orth"
"286",6,4,3,16,1,8570826,8573604,2778,0,0,1,"0","mask"
"287",6,41,4,17,1,8592943,8595341,2398,0,0,1,"20","valid"
"288",6,38,1,18,1,8601147,8603751,2604,0,0,1,"0","valid"
"289",6,11,4,19,1,8610960,8615629,4669,0,1,0,"20","valid"
"290",6,8,1,20,1,8633852,8636472,2620,0,0,1,"0","valid"
"291",6,43,6,21,1,8656605,8660277,3672,0,0,1,"20","mask"
"292",6,2,1,22,1,8666671,8668974,2303,1,1,1,"0","valid"
"293",6,33,2,23,1,8675521,8677844,2323,0,0,1,"0","orth"
"294",6,40,3,24,1,8685296,8688953,3657,0,0,1,"0","mask"
"295",6,10,3,25,1,8701599,8704115,2516,0,0,1,"0","mask"
"296",6,54,5,26,1,8717661,8721021,3360,1,1,1,"20","orth"
"297",6,13,6,27,1,8727900,8730313,2413,1,1,1,"20","mask"
"298",6,53,4,28,1,8738279,8740388,2109,0,0,1,"20","valid"
"299",6,26,1,29,1,9007340,9011990,4650,1,1,1,"0","valid"
"300",6,27,2,30,1,9024455,9026569,2114,0,0,1,"0","orth"
"301",6,52,3,31,1,9063838,9066555,2717,1,1,1,"0","mask"
"302",6,35,4,32,1,9116492,9119035,2543,0,0,1,"20","valid"
"303",6,28,3,33,1,9142014,9144619,2605,0,0,1,"0","mask"
"304",6,16,3,34,1,9157527,9159742,2215,0,0,1,"0","mask"
"305",6,42,5,35,1,9166585,9169178,2593,1,1,1,"20","orth"
"306",6,18,5,36,1,9201872,9204131,2259,0,0,1,"20","orth"
"307",6,23,4,37,1,9237743,9240359,2616,0,0,1,"20","valid"
"308",6,50,1,38,1,9247127,9249554,2427,1,1,1,"0","valid"
"309",6,7,6,39,1,9269576,9275758,6182,1,1,1,"20","mask"
"310",6,44,1,40,1,9281551,9284308,2757,1,1,1,"0","valid"
"311",6,20,1,41,1,9298228,9303754,5526,1,1,1,"0","valid"
"312",6,6,5,42,1,9337378,9340294,2916,0,0,1,"20","orth"
"313",6,3,2,43,1,9357901,9360515,2614,1,1,1,"0","orth"
"314",6,36,5,44,1,9391842,9394589,2747,1,1,1,"20","orth"
"315",6,32,1,45,1,9408768,9411281,2513,1,1,1,"0","valid"
"316",6,1,6,46,1,9417987,9420559,2572,0,0,1,"20","mask"
"317",6,22,3,47,1,9450991,9453992,3001,1,1,1,"0","mask"
"318",6,48,5,48,1,9459936,9462596,2660,0,0,1,"20","orth"
"319",6,39,2,49,1,9468978,9471465,2487,1,1,1,"0","orth"
"320",6,14,1,50,1,9482870,9486221,3351,1,1,1,"0","valid"
"321",6,19,6,51,1,9493105,9496616,3511,1,1,1,"20","mask"
"322",6,25,6,52,1,9517358,9519574,2216,0,0,1,"20","mask"
"323",6,5,4,53,1,9535037,9537669,2632,0,0,1,"20","valid"
"324",6,37,6,54,1,9544618,9547178,2560,1,1,1,"20","mask"
"325",7,10,4,1,1,10077924,10084200,6276,0,0,1,"20","valid"
"326",7,27,3,2,1,10099297,10102142,2845,0,0,1,"0","mask"
"327",7,30,6,3,1,10115818,10118443,2625,1,1,1,"20","mask"
"328",7,7,1,4,1,10130820,10136861,6041,1,1,1,"0","valid"
"329",7,49,1,5,1,10188870,10192337,3467,0,0,1,"0","valid"
"330",7,46,4,6,1,10263912,10266495,2583,0,0,1,"20","valid"
"331",7,42,6,7,1,10273772,10278677,4905,1,1,1,"20","mask"
"332",7,37,1,8,1,10296665,10300542,3877,1,1,1,"0","valid"
"333",7,22,4,9,1,10311463,10314257,2794,1,1,1,"20","valid"
"334",7,28,4,10,1,10321851,10326364,4513,0,0,1,"20","valid"
"335",7,5,5,11,1,10367828,10371409,3581,0,0,1,"20","orth"
"336",7,17,5,12,1,10378654,10381179,2525,1,1,1,"20","orth"
"337",7,43,1,13,1,10402996,10406455,3459,0,0,1,"0","valid"
"338",7,39,3,14,1,10413440,10416198,2758,1,1,1,"0","mask"
"339",7,29,5,15,1,10424691,10428993,4302,1,0,0,"20","orth"
"340",7,48,6,16,1,10483179,10487306,4127,0,0,1,"20","mask"
"341",7,36,6,17,1,10495822,10500248,4426,1,1,1,"20","mask"
"342",7,21,3,18,1,10585502,10590740,5238,1,1,1,"0","mask"
"343",7,12,6,19,1,10599378,10602391,3013,0,0,1,"20","mask"
"344",7,50,2,20,1,10609238,10611779,2541,1,1,1,"0","orth"
"345",7,34,4,21,1,10631962,10636164,4202,1,1,1,"20","valid"
"346",7,45,3,22,1,10642988,10645467,2479,1,1,1,"0","mask"
"347",7,2,2,23,1,10686725,10692223,5498,1,1,1,"0","orth"
"348",7,53,5,24,1,10716716,10720233,3517,0,0,1,"20","orth"
"349",7,18,6,25,1,10731082,10733736,2654,0,0,1,"20","mask"
"350",7,20,2,26,1,10760327,10765010,4683,1,1,1,"0","orth"
"351",7,44,2,27,1,10771646,10778778,7132,1,1,1,"0","orth"
"352",7,6,6,28,1,10785993,10791087,5094,0,0,1,"20","mask"
"353",7,51,3,29,1,10815193,10818172,2979,0,0,1,"0","mask"
"354",7,25,1,30,1,10825248,10827695,2447,0,0,1,"0","valid"
"355",7,31,1,31,1,10834136,10836890,2754,0,0,1,"0","valid"
"356",7,26,2,32,1,10850815,10854303,3488,1,1,1,"0","orth"
"357",7,35,5,33,1,10865811,10869564,3753,0,0,1,"20","orth"
"358",7,40,4,34,1,10876405,10880707,4302,0,1,0,"20","valid"
"359",7,24,6,35,1,10898803,10902572,3769,0,1,0,"20","mask"
"360",7,13,1,36,1,10910152,10912983,2831,1,1,1,"0","valid"
"361",7,16,4,37,1,10971777,10974353,2576,0,0,1,"20","valid"
"362",7,9,3,38,1,11001244,11004615,3371,1,1,1,"0","mask"
"363",7,4,4,39,1,11014425,11016891,2466,0,0,1,"20","valid"
"364",7,8,2,40,1,11025754,11028033,2279,0,0,1,"0","orth"
"365",7,11,5,41,1,11033580,11036537,2957,0,1,0,"20","orth"
"366",7,54,6,42,1,11043129,11047832,4703,1,1,1,"20","mask"
"367",7,41,5,43,1,11053987,11057124,3137,0,0,1,"20","orth"
"368",7,33,3,44,1,11087605,11091571,3966,0,0,1,"0","mask"
"369",7,1,1,45,1,11097616,11100833,3217,0,0,1,"0","valid"
"370",7,19,1,46,1,11105857,11109523,3666,1,1,1,"0","valid"
"371",7,32,2,47,1,11116386,11119574,3188,1,1,1,"0","orth"
"372",7,15,3,48,1,11137870,11141013,3143,1,1,1,"0","mask"
"373",7,52,4,49,1,11156133,11160959,4826,1,1,1,"20","valid"
"374",7,23,5,50,1,11173481,11176025,2544,0,0,1,"20","orth"
"375",7,3,3,51,1,11198607,11202435,3828,1,1,1,"0","mask"
"376",7,14,2,52,1,11208080,11211421,3341,1,1,1,"0","orth"
