"","subj","cond","item","start","end","duration_ms","duration_s","deg"
"722",3,1,55,5725700,5728546,2846,2.8,"20"
"731",3,8,46,5731130,5734321,3191,3.2,"0"
"742",3,7,53,5738425,5742423,3998,4,"20"
"752",3,5,27,5745342,5747861,2519,2.5,"20"
"771",3,5,67,5754261,5757810,3549,3.5,"20"
"782",3,4,50,5762248,5765758,3510,3.5,"0"
"792",3,5,19,5768165,5771889,3724,3.7,"20"
"811",3,5,51,5778647,5782535,3888,3.9,"20"
"821",3,1,23,5789540,5792906,3366,3.4,"20"
"841",3,1,31,5798106,5801755,3649,3.6,"20"
"862",3,4,42,5809232,5813577,4345,4.3,"0"
"872",3,1,7,5815863,5819209,3346,3.3,"20"
"89",3,4,34,5824723,5827887,3164,3.2,"0"
"902",3,3,57,5832972,5837352,4380,4.4,"20"
"912",3,8,78,5839569,5842997,3428,3.4,"0"
"92",3,5,75,5845795,5848465,2670,2.7,"20"
"932",3,3,33,5851214,5854138,2924,2.9,"20"
"941",3,6,60,5857107,5860573,3466,3.5,"0"
"952",3,5,59,5863267,5867586,4319,4.3,"20"
"962",3,3,65,5869434,5873185,3751,3.8,"20"
"972",3,6,12,5875667,5879494,3827,3.8,"0"
"992",3,8,14,5886325,5889800,3475,3.5,"0"
"1012",3,8,62,5894161,5900855,6694,6.7,"0"
"1021",3,3,49,5905227,5908170,2943,2.9,"20"
"1032",3,7,61,5912866,5916118,3252,3.3,"20"
"104",3,3,73,5918493,5921996,3503,3.5,"20"
"1052",3,2,80,5924363,5927296,2933,2.9,"0"
"1062",3,6,52,5929542,5932569,3027,3,"0"
"1071",3,1,39,5935986,5939225,3239,3.2,"20"
"1081",3,4,66,5941086,5945283,4197,4.2,"0"
"1091",3,7,29,5948338,5952404,4066,4.1,"20"
"1111",3,7,77,5960024,5964181,4157,4.2,"20"
"1121",3,7,5,5965993,5970277,4284,4.3,"20"
"1141",3,4,2,5975273,5978797,3524,3.5,"0"
"1162",3,4,58,5983844,5988800,4956,5,"0"
"1171",3,7,45,5991029,5994785,3756,3.8,"20"
"1182",3,6,36,5997373,6000104,2731,2.7,"0"
"712",4,3,16,7154766,7159177,4411,4.4,"20"
"910",4,8,45,7166121,7169141,3020,3,"0"
"1010",4,5,50,7174126,7178196,4070,4.1,"20"
"1110",4,3,40,7180208,7183759,3551,3.6,"20"
"122",4,7,60,7185760,7189486,3726,3.7,"20"
"133",4,1,38,7191532,7195641,4109,4.1,"20"
"143",4,4,9,7200808,7204419,3611,3.6,"0"
"162",4,8,13,7210142,7213797,3655,3.7,"0"
"183",4,3,24,7225427,7229410,3983,4,"20"
"203",4,8,29,7235329,7241207,5878,5.9,"0"
"222",4,3,32,7249237,7252426,3189,3.2,"20"
"241",4,8,61,7261736,7268450,6714,6.7,"0"
"252",4,2,15,7272076,7274513,2437,2.4,"0"
"273",4,2,63,7280725,7284714,3989,4,"0"
"281",4,7,12,7290356,7293078,2722,2.7,"20"
"301",4,6,75,7299510,7303701,4191,4.2,"0"
"312",4,8,21,7305725,7309272,3547,3.5,"0"
"332",4,5,26,7320142,7324032,3890,3.9,"20"
"352",4,4,65,7333644,7338207,4563,4.6,"0"
"363",4,5,2,7340163,7344092,3929,3.9,"20"
"383",4,1,54,7353149,7358680,5531,5.5,"20"
"393",4,2,31,7366472,7373753,7281,7.3,"0"
"412",4,7,28,7387548,7391276,3728,3.7,"20"
"431",4,7,20,7396796,7400830,4034,4,"20"
"451",4,1,6,7406803,7414317,7514,7.5,"20"
"472",4,2,7,7419698,7430872,11174,11.2,"0"
"491",4,7,36,7436695,7440644,3949,3.9,"20"
"502",4,6,19,7447038,7449494,2456,2.5,"0"
"521",4,4,57,7456381,7461367,4986,5,"0"
"533",4,3,56,7469038,7471989,2951,3,"20"
"541",4,4,41,7477032,7480397,3365,3.4,"0"
"553",4,3,8,7487721,7491201,3480,3.5,"20"
"573",4,4,49,7496662,7499998,3336,3.3,"0"
"581",4,1,22,7506559,7511991,5432,5.4,"20"
"603",4,3,80,7528624,7531515,2891,2.9,"20"
"611",4,2,39,7546473,7549822,3349,3.3,"0"
"623",4,4,25,7553520,7556918,3398,3.4,"0"
"643",4,1,70,7561773,7566402,4629,4.6,"20"
"651",4,5,42,7568334,7572013,3679,3.7,"20"
"663",4,5,18,7573931,7577068,3137,3.1,"20"
"682",4,6,3,7582675,7588213,5538,5.5,"0"
"703",4,5,66,7595460,7599503,4043,4,"20"
"713",4,2,71,7601535,7604310,2775,2.8,"0"
"723",4,2,55,7606270,7609729,3459,3.5,"0"
"732",4,5,34,7613315,7617685,4370,4.4,"20"
"743",4,7,68,7621948,7626223,4275,4.3,"20"
"753",4,2,23,7628203,7631605,3402,3.4,"0"
"772",4,6,11,7636607,7639693,3086,3.1,"0"
"793",4,4,17,7648111,7655035,6924,6.9,"0"
"812",4,3,64,7663535,7666434,2899,2.9,"20"
"822",4,6,59,7672765,7676215,3450,3.5,"0"
"832",4,3,72,7681120,7686175,5055,5.1,"20"
"842",4,4,33,7693507,7696493,2986,3,"0"
"852",4,5,74,7698913,7703243,4330,4.3,"20"
"863",4,7,52,7711081,7715573,4492,4.5,"20"
"873",4,7,44,7718809,7723648,4839,4.8,"20"
"882",4,6,67,7725449,7729486,4037,4,"0"
"891",4,6,35,7731466,7735884,4418,4.4,"0"
"903",4,6,51,7737723,7742300,4577,4.6,"0"
"913",4,7,76,7744533,7748906,4373,4.4,"20"
"921",4,1,46,7751136,7754046,2910,2.9,"20"
"933",4,2,47,7755849,7761590,5741,5.7,"0"
"942",4,4,73,7763681,7767045,3364,3.4,"0"
"953",4,1,62,7769009,7773390,4381,4.4,"20"
"963",4,8,53,7779016,7782720,3704,3.7,"0"
"973",4,1,30,7785209,7788295,3086,3.1,"20"
"993",4,8,69,7794780,7799423,4643,4.6,"0"
"1002",4,8,77,7801595,7805293,3698,3.7,"0"
"1013",4,5,10,7807088,7811458,4370,4.4,"20"
"1033",4,3,48,7818515,7823976,5461,5.5,"20"
"1041",4,1,78,7825969,7829222,3253,3.3,"20"
"1053",4,5,58,7832126,7835793,3667,3.7,"20"
"1063",4,7,4,7837702,7840900,3198,3.2,"20"
"1082",4,8,5,7846215,7850245,4030,4,"0"
"1102",4,4,1,7855308,7858252,2944,2.9,"0"
"1122",4,6,43,7867074,7870643,3569,3.6,"0"
"1132",4,1,14,7873080,7877205,4125,4.1,"20"
"1151",4,8,37,7883425,7886466,3041,3,"0"
"1163",4,6,27,7888395,7891727,3332,3.3,"0"
"1183",4,2,79,7901468,7908275,6807,6.8,"0"
"714",5,2,6,8888686,8893054,4368,4.4,"0"
