seq,subj,item,cond,R1,R2,R3,R4
4,1,55,7,5.00,1.00,1.00,4.00
16,1,56,8,7.00,1.00,1.00,2.00
8,1,57,1,9.00,1.00,2.00,2.00
25,1,59,3,12.00,1.00,1.00,3.00
34,1,60,4,8.00,0.00,1.00,6.00
55,1,61,5,9.00,1.00,1.00,4.00
13,1,62,6,6.00,1.00,1.00,2.00
10,1,63,7,4.00,1.00,1.00,3.00
49,1,64,8,4.00,1.00,1.00,4.00
71,1,65,1,11.00,1.00,1.00,4.00
63,1,66,2,13.00,3.00,1.00,4.00
48,1,67,3,13.00,1.00,1.00,3.00
58,1,68,4,4.00,1.00,1.00,3.00
0,1,69,5,2.00,1.00,1.00,1.00
37,1,70,6,8.00,1.00,1.00,3.00
14,1,71,7,6.00,1.00,1.00,4.00
6,1,72,8,4.00,1.00,1.00,3.00
69,1,73,1,6.00,1.00,1.00,1.00
67,1,74,2,6.00,0.00,2.00,1.00
41,1,75,3,10.00,1.00,1.00,2.00
9,1,76,4,9.00,1.00,1.00,5.00
70,1,77,5,2.00,1.00,1.00,3.00
43,1,78,6,4.00,1.00,1.00,4.00
35,1,79,7,2.00,1.00,2.00,4.00
43,2,1,2,5.00,1.00,1.00,3.00
37,2,2,3,2.00,2.00,0.00,3.00
19,2,3,4,4.00,1.00,1.00,4.00
49,2,4,5,7.00,1.00,1.00,3.00
63,2,5,6,8.00,2.00,1.00,2.00
17,2,6,7,6.00,2.00,2.00,3.00
8,2,7,8,3.00,1.00,1.00,5.00
0,2,8,1,10.00,0.00,2.00,4.00
27,2,10,3,12.00,0.00,2.00,2.00
9,2,11,4,2.00,1.00,1.00,5.00
11,2,12,5,8.00,1.00,2.00,2.00
22,2,13,6,0.00,1.00,1.00,1.00
36,2,15,8,0.00,2.00,1.00,2.00
60,2,16,1,7.00,1.00,2.00,2.00
65,2,18,3,7.00,2.00,1.00,5.00
50,2,20,5,6.00,1.00,1.00,3.00
6,2,21,6,8.00,1.00,2.00,4.00
18,2,23,8,4.00,1.00,1.00,5.00
33,2,24,1,6.00,2.00,1.00,4.00
34,2,25,2,3.00,1.00,1.00,5.00
32,2,26,3,1.00,1.00,1.00,1.00
59,2,27,4,2.00,1.00,1.00,4.00
64,2,28,5,6.00,1.00,2.00,5.00
23,2,29,6,5.00,1.00,1.00,2.00
13,2,30,7,1.00,1.00,1.00,4.00
20,2,32,1,6.00,1.00,2.00,3.00
21,2,33,2,5.00,1.00,1.00,1.00
38,2,34,3,5.00,1.00,1.00,1.00
44,2,35,4,5.00,1.00,1.00,5.00
10,2,36,5,6.00,2.00,1.00,4.00
16,2,37,6,3.00,1.00,1.00,3.00
61,2,38,7,5.00,1.00,1.00,1.00
1,2,39,8,11.00,1.00,1.00,1.00
29,2,40,1,5.00,1.00,1.00,1.00
47,2,43,4,3.00,1.00,0.00,2.00
30,2,44,5,5.00,1.00,2.00,3.00
25,2,45,6,4.00,1.00,0.00,3.00
3,2,46,7,10.00,1.00,1.00,4.00
62,2,47,8,3.00,1.00,1.00,2.00
53,2,49,2,4.00,1.00,1.00,3.00
45,2,50,3,2.00,2.00,1.00,2.00
41,2,52,5,3.00,1.00,1.00,3.00
7,2,53,6,1.00,1.00,1.00,3.00
51,2,54,7,4.00,1.00,1.00,5.00
42,2,55,8,5.00,1.00,2.00,3.00
66,2,56,1,10.00,1.00,2.00,1.00
35,2,57,2,8.00,1.00,1.00,2.00
54,2,58,3,3.00,1.00,1.00,3.00
56,2,59,4,9.00,1.00,0.00,1.00
24,2,60,5,7.00,1.00,1.00,4.00
12,2,62,7,6.00,1.00,1.00,2.00
57,2,63,8,4.00,1.00,1.00,1.00
39,2,64,1,4.00,1.00,1.00,1.00
58,2,65,2,9.00,1.00,0.00,1.00
48,2,67,4,10.00,1.00,1.00,2.00
52,2,68,5,6.00,0.00,2.00,3.00
40,2,70,7,10.00,1.00,2.00,2.00
31,2,71,8,5.00,1.00,2.00,2.00
2,2,72,1,2.00,1.00,1.00,6.00
55,2,73,2,6.00,1.00,1.00,3.00
26,2,74,3,3.00,1.00,2.00,4.00
15,2,75,4,8.00,1.00,1.00,1.00
28,2,76,5,9.00,1.00,3.00,3.00
46,2,77,6,0.00,1.00,1.00,4.00
14,2,78,7,5.00,1.00,2.00,4.00
4,2,79,8,4.00,1.00,2.00,5.00
5,2,80,1,6.00,2.00,2.00,3.00
48,3,1,3,7.00,1.00,0.00,3.00
18,3,2,4,3.00,1.00,1.00,2.00
50,3,3,5,2.00,2.00,0.00,3.00
29,3,4,6,5.00,1.00,1.00,2.00
58,3,5,7,5.00,1.00,2.00,2.00
25,3,6,8,6.00,1.00,1.00,3.00
53,3,7,1,6.00,3.00,0.00,5.00
75,3,8,2,6.00,1.00,1.00,3.00
66,3,9,3,9.00,1.00,1.00,6.00
52,3,10,4,10.00,1.00,0.00,5.00
3,3,11,5,2.00,1.00,1.00,3.00
71,3,12,6,6.00,1.00,1.00,3.00
