"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy","deg","prev"
"128",3,21,5,20,1,5376473,5379257,2784,1,1,1,"20","orth"
"129",3,4,6,21,1,5384711,5387264,2553,0,0,1,"20","mask"
"130",3,23,1,22,1,5392646,5394826,2180,0,0,1,"0","valid"
"131",3,9,5,23,1,5410183,5412795,2612,1,1,1,"20","orth"
"132",3,47,1,24,1,5423551,5425809,2258,1,1,1,"0","valid"
"133",3,11,1,25,1,5442292,5445183,2891,0,1,0,"0","valid"
"134",3,2,4,26,1,5491995,5494690,2695,1,1,1,"20","valid"
"135",3,52,6,27,1,5506567,5509088,2521,1,1,1,"20","mask"
"136",3,41,1,28,1,5526454,5529175,2721,0,0,1,"0","valid"
"137",3,26,4,29,1,5534638,5537502,2864,1,1,1,"20","valid"
"138",3,7,3,30,1,5543834,5546452,2618,1,0,0,"0","mask"
"139",3,39,5,31,1,5551511,5553882,2371,1,1,1,"20","orth"
"140",3,19,3,32,1,5564231,5567125,2894,1,1,1,"0","mask"
"141",3,43,3,33,1,5573403,5575709,2306,0,0,1,"0","mask"
"142",3,5,1,34,1,5580776,5583631,2855,0,0,1,"0","valid"
"143",3,28,6,35,1,5605133,5608821,3688,0,0,1,"20","mask"
"144",3,48,2,36,1,5613433,5615847,2414,0,0,1,"0","orth"
"145",3,22,6,37,1,5621613,5624063,2450,1,1,1,"20","mask"
"146",3,33,5,38,1,5640911,5643739,2828,0,0,1,"20","orth"
"147",3,54,2,39,1,5655561,5657909,2348,1,1,1,"0","orth"
"148",3,13,3,40,1,5663155,5665399,2244,1,1,1,"0","mask"
"149",3,32,4,41,1,5680291,5682838,2547,1,1,1,"20","valid"
"150",3,14,4,42,1,5688378,5691244,2866,1,1,1,"20","valid"
"151",3,18,2,43,1,5727503,5730397,2894,0,0,1,"0","orth"
"152",3,38,4,44,1,5755686,5758224,2538,0,0,1,"20","valid"
"153",3,34,6,45,1,5786221,5789429,3208,1,1,1,"20","mask"
"154",3,49,3,46,1,5795385,5797448,2063,0,0,1,"0","mask"
"155",3,50,4,47,1,5845447,5848335,2888,1,1,1,"20","valid"
"156",3,30,2,48,1,5862769,5864877,2108,1,1,1,"0","orth"
"157",3,37,3,49,1,5869671,5871995,2324,1,1,1,"0","mask"
"158",3,36,2,50,1,5876608,5879028,2420,1,1,1,"0","orth"
"159",3,35,1,51,1,5884097,5886858,2761,0,0,1,"0","valid"
"160",3,40,6,52,1,5898145,5900959,2814,0,1,0,"20","mask"
"161",3,27,5,53,1,5911535,5914286,2751,0,1,0,"20","orth"
"162",3,15,5,54,1,5938779,5941156,2377,1,1,1,"20","orth"
