"","subject","item","sentcond","questcond","dependnum","starttime","endtime","subresp","correctresp","accuracy","prev","deg","cond"
"120",4,19,6,6,1,7835435,7837569,6,6,1,"orth","0",6
"121",4,25,4,7,1,7871328,7872330,7,7,1,"phon","0",4
"122",4,15,2,6,1,7894815,7895772,6,6,1,"valid","0",2
"123",4,26,5,6,1,7905724,7906865,6,6,1,"orth","20",5
"124",4,17,4,6,1,7919293,7920220,6,6,1,"phon","0",4
"125",4,16,3,7,1,7956706,7957956,7,7,1,"phon","20",3
"126",4,14,1,6,1,7970980,7972243,6,6,1,"valid","20",1
"127",4,18,5,7,1,7982935,7984148,7,7,1,"orth","20",5
"128",4,9,4,6,1,8001795,8002813,6,6,1,"phon","0",4
"129",5,23,3,7,1,4684310,4685477,7,7,1,"phon","20",3
"130",5,17,5,6,1,4698618,4700270,6,6,1,"orth","20",5
"131",5,32,4,6,1,4709265,4710720,6,6,1,"phon","0",4
"132",5,30,2,6,1,4722850,4723956,6,6,1,"valid","0",2
"133",5,24,4,7,1,4728818,4731213,6,7,0,"phon","0",4
"134",5,12,8,7,1,4743594,4745962,7,7,1,"invalid","0",8
"135",5,2,6,6,1,4759803,4761211,6,6,1,"orth","0",6
"136",5,5,1,7,1,4779338,4781310,7,7,1,"valid","20",1
"137",5,9,5,6,1,4789783,4791067,6,6,1,"orth","20",5
"138",5,19,7,6,1,4795491,4797914,6,6,1,"invalid","20",7
"139",5,21,1,6,1,4806316,4807569,6,6,1,"valid","20",1
"140",5,8,4,7,1,4816265,4819363,7,7,1,"phon","0",4
"141",5,15,3,6,1,4823737,4824845,6,6,1,"phon","20",3
"142",5,4,8,7,1,4846473,4847691,7,7,1,"invalid","0",8
"143",5,16,4,7,1,4852063,4853931,7,7,1,"phon","0",4
"144",5,14,2,6,1,4865824,4867126,6,6,1,"valid","0",2
"145",5,10,6,7,1,4873213,4876945,7,7,1,"orth","0",6
"146",5,3,7,6,1,4881649,4882898,6,6,1,"invalid","20",7
"147",5,31,3,7,1,4903084,4905199,6,7,0,"phon","20",3
"148",5,11,7,7,1,4915473,4917054,7,7,1,"invalid","20",7
"149",5,18,6,7,1,4933143,4934313,7,7,1,"orth","0",6
"150",5,6,2,7,1,4939645,4942059,7,7,1,"valid","0",2
"151",5,1,5,7,1,4962100,4963027,7,7,1,"orth","20",5
"152",5,22,2,6,1,4982928,4984249,6,6,1,"valid","0",2
"153",5,28,8,7,1,5014992,5016648,7,7,1,"invalid","0",8
"154",5,25,5,7,1,5021790,5023316,7,7,1,"orth","20",5
"155",5,20,8,6,1,5027837,5029250,6,6,1,"invalid","0",8
"156",5,13,1,6,1,5041417,5042281,6,6,1,"valid","20",1
"157",5,29,1,6,1,5050845,5051889,6,6,1,"valid","20",1
"158",5,7,3,6,1,5056715,5058139,6,6,1,"phon","20",3
"159",5,26,6,6,1,5065667,5067031,6,6,1,"orth","0",6
"160",5,27,7,7,1,5087557,5088520,6,7,0,"invalid","20",7
"161",6,32,5,6,1,2761734,2763289,6,6,1,"orth","20",5
"162",6,28,1,7,1,2775000,2777205,7,7,1,"valid","20",1
"163",6,30,3,6,1,2783000,2784163,6,6,1,"phon","20",3
"164",6,21,2,6,1,2801081,2802425,6,6,1,"valid","0",2
"165",6,8,5,7,1,2845149,2846888,7,7,1,"orth","20",5
"166",6,2,7,6,1,2871595,2874139,6,6,1,"invalid","20",7
"167",6,22,3,6,1,2900509,2903766,6,6,1,"phon","20",3
"168",6,5,2,7,1,2909195,2911121,7,7,1,"valid","0",2
"169",6,27,8,7,1,2924715,2926002,7,7,1,"invalid","0",8
"170",6,24,5,7,1,2943737,2947106,7,7,1,"orth","20",5
"171",6,13,2,6,1,2976131,2977399,6,6,1,"valid","0",2
"172",6,3,8,6,1,2992243,2993842,6,6,1,"invalid","0",8
"173",6,12,1,7,1,3024160,3027389,7,7,1,"valid","20",1
"174",6,19,8,6,1,3034664,3041333,7,6,0,"invalid","0",8
"175",6,23,4,7,1,3046603,3048254,7,7,1,"phon","0",4
"176",6,9,6,6,1,3062914,3065182,6,6,1,"orth","0",6
"177",6,16,5,7,1,3073434,3075085,7,7,1,"orth","20",5
"178",6,4,1,7,1,3084108,3085703,7,7,1,"valid","20",1
