"","subj","cond","item","start","end","duration_ms","duration_s","deg"
"94",1,5,5,5199918,5205733,5815,5.8,"20"
"96",1,5,61,5210186,5216926,6740,6.7,"20"
"97",1,7,7,5219916,5224437,4521,4.5,"20"
"99",1,1,1,5233589,5241454,7865,7.9,"20"
"101",1,4,68,5246486,5250219,3733,3.7,"0"
"102",1,6,38,5251893,5256368,4475,4.5,"0"
"103",1,2,2,5259335,5263474,4139,4.1,"0"
"105",1,6,46,5271786,5278945,7159,7.2,"0"
"106",1,7,15,5280524,5288175,7651,7.7,"20"
"108",1,2,66,5294375,5300216,5841,5.8,"0"
"109",1,8,16,5304667,5311801,7134,7.1,"0"
"111",1,5,53,5319473,5326011,6538,6.5,"20"
"112",1,2,26,5327540,5335490,7950,8,"0"
"114",1,2,74,5341951,5354351,12400,12.4,"0"
"115",1,6,14,5355839,5364351,8512,8.5,"0"
"117",1,1,73,5369610,5384756,15146,15.1,"20"
"118",1,5,77,5386639,5394351,7712,7.7,"20"
"119",1,1,65,5395920,5406340,10420,10.4,"20"
"120",1,3,35,5407844,5415853,8009,8,"20"
"121",1,4,36,5419657,5426168,6511,6.5,"0"
"1010",2,1,8,2343514,2348308,4794,4.8,"20"
"12",2,6,61,2355689,2360003,4314,4.3,"0"
"131",2,8,39,2363882,2370406,6524,6.5,"0"
"141",2,2,41,2372456,2376704,4248,4.2,"0"
"15",2,7,14,2380995,2386042,5047,5,"20"
"171",2,1,72,2395407,2399368,3961,4,"20"
"18",2,7,46,2401584,2405170,3586,3.6,"20"
"191",2,8,79,2410103,2413759,3656,3.7,"0"
"201",2,1,80,2419358,2422212,2854,2.9,"20"
"21",2,6,21,2424793,2428428,3635,3.6,"0"
"231",2,6,53,2437094,2441385,4291,4.3,"0"
"241",2,8,7,2445056,2448368,3312,3.3,"0"
"26",2,4,11,2457145,2459853,2708,2.7,"0"
"28",2,5,36,2469342,2476383,7041,7,"20"
"291",2,5,12,2481554,2485575,4021,4,"20"
"311",2,7,62,2494034,2498818,4784,4.8,"20"
"321",2,7,30,2502811,2506709,3898,3.9,"20"
"341",2,7,78,2513488,2516487,2999,3,"20"
"35",2,4,75,2519361,2522179,2818,2.8,"0"
"361",2,6,37,2524787,2527904,3117,3.1,"0"
"37",2,7,6,2534288,2537714,3426,3.4,"20"
"39",2,8,23,2545328,2548196,2868,2.9,"0"
"41",2,4,3,2556075,2558808,2733,2.7,"0"
"43",2,1,32,2566427,2569732,3305,3.3,"20"
"451",2,2,33,2574894,2577227,2333,2.3,"0"
"461",2,6,13,2580827,2584194,3367,3.4,"0"
"481",2,4,19,2589973,2592733,2760,2.8,"0"
"501",2,6,29,2601307,2604124,2817,2.8,"0"
"521",2,5,60,2611312,2614194,2882,2.9,"20"
"53",2,6,45,2617833,2620426,2593,2.6,"0"
"541",2,3,74,2624131,2627333,3202,3.2,"20"
"55",2,3,10,2633712,2637611,3899,3.9,"20"
"57",2,5,76,2646317,2650114,3797,3.8,"20"
"581",2,1,40,2654741,2657379,2638,2.6,"20"
"591",2,5,44,2662867,2665473,2606,2.6,"20"
"601",2,8,71,2671318,2673849,2531,2.5,"0"
"611",2,7,22,2682715,2688813,6098,6.1,"20"
"631",2,3,26,2697229,2701767,4538,4.5,"20"
"651",2,1,24,2708525,2712553,4028,4,"20"
"671",2,2,25,2724979,2728521,3542,3.5,"0"
"691",2,2,57,2735517,2739680,4163,4.2,"0"
"701",2,8,15,2745850,2748509,2659,2.7,"0"
"721",2,1,48,2752374,2756508,4134,4.1,"20"
"731",2,3,2,2762368,2765046,2678,2.7,"20"
"751",2,3,34,2776109,2780188,4079,4.1,"20"
"761",2,1,64,2784719,2787662,2943,2.9,"20"
"771",2,7,70,2795274,2800299,5025,5,"20"
"781",2,5,52,2802624,2805434,2810,2.8,"20"
"791",2,8,55,2810577,2813916,3339,3.3,"0"
"80",2,2,1,2818456,2821169,2713,2.7,"0"
"82",2,2,17,2833760,2837107,3347,3.3,"0"
"841",2,4,35,2840431,2843524,3093,3.1,"0"
"85",2,3,50,2845364,2847929,2565,2.6,"20"
"861",2,6,77,2851862,2855069,3207,3.2,"0"
"871",2,4,43,2857117,2860064,2947,2.9,"0"
"881",2,4,67,2863146,2867009,3863,3.9,"0"
"89",2,5,4,2869160,2872163,3003,3,"20"
"911",2,5,20,2879725,2882097,2372,2.4,"20"
"931",2,2,9,2891735,2894407,2672,2.7,"0"
"95",2,7,54,2898710,2902419,3709,3.7,"20"
"961",2,5,68,2907669,2911910,4241,4.2,"20"
"971",2,2,49,2916614,2918819,2205,2.2,"0"
"98",2,3,58,2923157,2926277,3120,3.1,"20"
"991",2,2,73,2935202,2942223,7021,7,"0"
"100",2,3,42,2945106,2948993,3887,3.9,"20"
"1011",2,4,59,2953052,2956288,3236,3.2,"0"
"1021",2,8,31,2967638,2973855,6217,6.2,"0"
"104",2,3,66,2982046,2985165,3119,3.1,"20"
"1051",2,8,63,2989959,2993927,3968,4,"0"
"1061",2,2,65,2999636,3004208,4572,4.6,"0"
"107",2,4,27,3007186,3010032,2846,2.8,"0"
"1091",2,6,69,3019916,3024511,4595,4.6,"0"
"110",2,1,16,3026757,3030182,3425,3.4,"20"
"1121",2,7,38,3037417,3043632,6215,6.2,"20"
"113",2,8,47,3046247,3048682,2435,2.4,"0"
"1141",2,6,5,3054012,3057261,3249,3.2,"0"
"116",2,4,51,3065724,3069494,3770,3.8,"0"
"1171",2,5,28,3073883,3078112,4229,4.2,"20"
"1191",2,3,18,3085732,3089697,3965,4,"20"
"1211",2,1,56,3095748,3099487,3739,3.7,"20"
"1012",3,1,63,28156326,28164485,8159,8.2,"20"
"1110",3,1,79,28166970,28174655,7685,7.7,"20"
"122",3,3,41,28176672,28181367,4695,4.7,"20"
"132",3,5,11,28183119,28188320,5201,5.2,"20"
"151",3,8,46,28195419,28199835,4416,4.4,"0"
"161",3,7,45,28201466,28206723,5257,5.3,"20"
"172",3,3,33,28215708,28220873,5165,5.2,"20"
"181",3,6,52,28223883,28232555,8672,8.7,"0"
"192",3,7,29,28234783,28239828,5045,5,"20"
"211",3,2,80,28259692,28264521,4829,4.8,"0"
"221",3,5,51,28269046,28276036,6990,7,"20"
"232",3,2,48,28278171,28282596,4425,4.4,"0"
"242",3,3,57,28295526,28301039,5513,5.5,"20"
"251",3,6,60,28303928,28310251,6323,6.3,"0"
"261",3,5,67,28316107,28328059,11952,12,"20"
"271",3,4,18,28332513,28336149,3636,3.6,"0"
"292",3,6,20,28361362,28366217,4855,4.9,"0"
"312",3,4,26,28377652,28382281,4629,4.6,"0"
"331",3,4,2,28405155,28412231,7076,7.1,"0"
"351",3,8,14,28418370,28425684,7314,7.3,"0"
"371",3,7,37,28432432,28436642,4210,4.2,"20"
"381",3,1,71,28438570,28442341,3771,3.8,"20"
"391",3,1,31,28447940,28452902,4962,5,"20"
"411",3,1,39,28471487,28475075,3588,3.6,"20"
"421",3,4,66,28482374,28487265,4891,4.9,"0"
"431",3,8,6,28494516,28499239,4723,4.7,"0"
"452",3,5,75,28533997,28538525,4528,4.5,"20"
"462",3,1,47,28542318,28546106,3788,3.8,"20"
"471",3,3,73,28549074,28553814,4740,4.7,"20"
"482",3,6,4,28555398,28558768,3370,3.4,"0"
"502",3,6,68,28563555,28566881,3326,3.3,"0"
"51",3,2,72,28569662,28573779,4117,4.1,"0"
"522",3,2,24,28576011,28579777,3766,3.8,"0"
"542",3,3,49,28588837,28591973,3136,3.1,"20"
"551",3,5,27,28594249,28598154,3905,3.9,"20"
"571",3,1,55,28603002,28606452,3450,3.5,"20"
"582",3,8,30,28608355,28610725,2370,2.4,"0"
"602",3,8,22,28615378,28618103,2725,2.7,"0"
"62",3,2,16,28622427,28625773,3346,3.3,"0"
"64",3,6,28,28632008,28635388,3380,3.4,"0"
"661",3,4,42,28642842,28646185,3343,3.3,"0"
"672",3,7,53,28648469,28652856,4387,4.4,"20"
"681",3,2,64,28656206,28658541,2335,2.3,"0"
"692",3,5,59,28660807,28663962,3155,3.2,"20"
"702",3,4,34,28666936,28671068,4132,4.1,"0"
"711",3,8,54,28673709,28677907,4198,4.2,"0"
"722",3,8,38,28680478,28685225,4747,4.7,"0"
"732",3,5,43,28687016,28690836,3820,3.8,"20"
"74",3,3,1,28693126,28696384,3258,3.3,"20"
"762",3,7,21,28701663,28705046,3383,3.4,"20"
"782",3,5,3,28710082,28713591,3509,3.5,"20"
"801",3,8,78,28719014,28722635,3621,3.6,"0"
"811",3,4,10,28724107,28728011,3904,3.9,"0"
"831",3,1,7,28735803,28740302,4499,4.5,"20"
"851",3,7,61,28747166,28752365,5199,5.2,"20"
"862",3,3,25,28753858,28757815,3957,4,"20"
"882",3,4,50,28770557,28773555,2998,3,"0"
"891",3,5,35,28774934,28778119,3185,3.2,"20"
"901",3,7,5,28780921,28783546,2625,2.6,"20"
"92",3,5,19,28790222,28793229,3007,3,"20"
"941",3,3,65,28799629,28804165,4536,4.5,"20"
"951",3,7,13,28805926,28808939,3013,3,"20"
"972",3,6,44,28813680,28816845,3165,3.2,"0"
"981",3,7,77,28818319,28821512,3193,3.2,"20"
"992",3,6,76,28824516,28827257,2741,2.7,"0"
"1001",3,7,69,28830114,28834545,4431,4.4,"20"
"1013",3,3,9,28836285,28840473,4188,4.2,"20"
"1031",3,1,15,28846184,28849218,3034,3,"20"
"1052",3,2,56,28853380,28857190,3810,3.8,"0"
"1062",3,6,36,28859894,28863890,3996,4,"0"
"1071",3,8,70,28867116,28871049,3933,3.9,"0"
"1081",3,6,12,28872352,28875150,2798,2.8,"0"
"1101",3,2,32,28881233,28883801,2568,2.6,"0"
"1122",3,4,58,28888495,28891763,3268,3.3,"0"
"1131",3,4,74,28893091,28896772,3681,3.7,"0"
"1142",3,2,8,28898821,28901153,2332,2.3,"0"
"1161",3,1,23,28906167,28908908,2741,2.7,"20"
"1181",3,8,62,28914523,28918977,4454,4.5,"0"
"1192",3,2,40,28923620,28926494,2874,2.9,"0"
"1201",3,3,17,28930691,28933730,3039,3,"20"
"1014",4,6,27,7341245,7344513,3268,3.3,"0"
"123",4,8,45,7348453,7352663,4210,4.2,"0"
"133",4,5,42,7360411,7365409,4998,5,"20"
"142",4,8,69,7368548,7371586,3038,3,"0"
"152",4,2,31,7375062,7379243,4181,4.2,"0"
"173",4,8,37,7383827,7387169,3342,3.3,"0"
"182",4,4,73,7390148,7396060,5912,5.9,"0"
"193",4,8,21,7397389,7401740,4351,4.4,"0"
"212",4,6,75,7406960,7409201,2241,2.2,"0"
"222",4,8,29,7411986,7414901,2915,2.9,"0"
"243",4,7,4,7418972,7421530,2558,2.6,"20"
"262",4,8,61,7426509,7429287,2778,2.8,"0"
"272",4,1,22,7433075,7437892,4817,4.8,"20"
"293",4,6,59,7445002,7448370,3368,3.4,"0"
"301",4,3,64,7453050,7456062,3012,3,"20"
"313",4,7,76,7462554,7465658,3104,3.1,"20"
"322",4,1,62,7471567,7474528,2961,3,"20"
"332",4,3,72,7478740,7482303,3563,3.6,"20"
"342",4,1,46,7486765,7490497,3732,3.7,"20"
"352",4,2,47,7494690,7496758,2068,2.1,"0"
"362",4,7,28,7500579,7503258,2679,2.7,"20"
"382",4,6,11,7509280,7511723,2443,2.4,"0"
"401",4,7,36,7520217,7522898,2681,2.7,"20"
"412",4,7,52,7525834,7528056,2222,2.2,"20"
"422",4,5,50,7531649,7533831,2182,2.2,"20"
"432",4,2,63,7541307,7544183,2876,2.9,"0"
"441",4,7,60,7549870,7552935,3065,3.1,"20"
"453",4,3,80,7559384,7562382,2998,3,"20"
"463",4,2,7,7565109,7567889,2780,2.8,"0"
"483",4,8,13,7573514,7576318,2804,2.8,"0"
"503",4,4,33,7580394,7582349,1955,2,"0"
"511",4,2,55,7584158,7587344,3186,3.2,"0"
"523",4,7,44,7591540,7594766,3226,3.2,"20"
"531",4,3,24,7596401,7599014,2613,2.6,"20"
"552",4,1,70,7604640,7607341,2701,2.7,"20"
"561",4,1,30,7610043,7612659,2616,2.6,"20"
"583",4,4,1,7617904,7621466,3562,3.6,"0"
"603",4,2,71,7629089,7632721,3632,3.6,"0"
"612",4,6,43,7637394,7639769,2375,2.4,"0"
"621",4,5,10,7641969,7645269,3300,3.3,"20"
"641",4,7,12,7655192,7658180,2988,3,"20"
"662",4,3,32,7671929,7676144,4215,4.2,"20"
"682",4,6,67,7682168,7685425,3257,3.3,"0"
"693",4,7,20,7687361,7689360,1999,2,"20"
"712",4,1,6,7702172,7705976,3804,3.8,"20"
"733",4,7,68,7711804,7714331,2527,2.5,"20"
"741",4,6,35,7719245,7721867,2622,2.6,"0"
"752",4,8,5,7726082,7729726,3644,3.6,"0"
"772",4,3,40,7735783,7738335,2552,2.6,"20"
"783",4,2,79,7741418,7746559,5141,5.1,"0"
"792",4,5,58,7749235,7752496,3261,3.3,"20"
"802",4,4,57,7755589,7758365,2776,2.8,"0"
"812",4,4,65,7762779,7766650,3871,3.9,"0"
"821",4,5,2,7769795,7772407,2612,2.6,"20"
"842",4,3,8,7781084,7784401,3317,3.3,"20"
"863",4,1,54,7789906,7792408,2502,2.5,"20"
"872",4,2,23,7800426,7802598,2172,2.2,"0"
"892",4,6,3,7810634,7813692,3058,3.1,"0"
"912",4,6,51,7818944,7822207,3263,3.3,"0"
"921",4,5,66,7824835,7827627,2792,2.8,"20"
"932",4,6,19,7830324,7834570,4246,4.2,"0"
"952",4,3,56,7840033,7842516,2483,2.5,"20"
"962",4,1,78,7847746,7850571,2825,2.8,"20"
"973",4,2,39,7854816,7857622,2806,2.8,"0"
"982",4,4,41,7860738,7862741,2003,2,"0"
"993",4,4,25,7868449,7870510,2061,2.1,"0"
"1015",4,3,48,7876404,7881562,5158,5.2,"20"
"1022",4,1,38,7885607,7889708,4101,4.1,"20"
"1032",4,2,15,7891857,7893989,2132,2.1,"0"
"1053",4,5,26,7901857,7904864,3007,3,"20"
"1072",4,4,17,7915069,7918482,3413,3.4,"0"
"1092",4,5,34,7923472,7927107,3635,3.6,"20"
"1102",4,4,49,7930507,7933131,2624,2.6,"0"
"1111",4,8,53,7937986,7944183,6197,6.2,"0"
"1123",4,3,16,7952346,7955861,3515,3.5,"20"
"1143",4,5,74,7960909,7963487,2578,2.6,"20"
"1151",4,1,14,7966636,7970117,3481,3.5,"20"
"1172",4,5,18,7976248,7982091,5843,5.8,"20"
"1193",4,8,77,7986911,7989438,2527,2.5,"0"
"1202",4,4,9,7996714,8000954,4240,4.2,"0"
"1016",5,3,23,4681666,4683494,1828,1.8,"20"
"124",5,7,43,4686893,4689870,2977,3,"20"
"134",5,2,70,4691314,4693656,2342,2.3,"0"
"143",5,5,17,4695557,4697804,2247,2.2,"20"
"162",5,3,63,4701654,4704233,2579,2.6,"20"
"174",5,4,32,4705784,4708406,2622,2.6,"0"
"194",5,1,45,4712087,4714183,2096,2.1,"20"
"202",5,1,53,4715834,4718375,2541,2.5,"20"
"213",5,2,30,4719927,4722054,2127,2.1,"0"
"233",5,4,24,4725443,4727968,2525,2.5,"0"
"252",5,4,40,4732595,4735438,2843,2.8,"0"
"263",5,2,78,4736971,4739090,2119,2.1,"0"
"273",5,8,12,4740676,4742748,2072,2.1,"0"
"294",5,7,51,4748238,4750803,2565,2.6,"20"
"302",5,2,62,4752125,4754286,2161,2.2,"0"
"314",5,6,2,4756680,4758960,2280,2.3,"0"
"333",5,8,52,4762679,4764755,2076,2.1,"0"
"343",5,5,57,4767554,4769746,2192,2.2,"20"
"353",5,8,44,4772368,4774652,2284,2.3,"0"
"363",5,1,5,4776228,4778458,2230,2.2,"20"
"383",5,6,58,4782845,4785298,2453,2.5,"0"
"392",5,5,9,4786857,4788945,2088,2.1,"20"
"413",5,7,19,4792907,4794661,1754,1.8,"20"
"433",5,1,61,4799285,4801442,2157,2.2,"20"
"442",5,1,21,4803310,4805455,2145,2.1,"20"
"464",5,5,73,4809270,4811430,2160,2.2,"20"
"472",5,4,8,4812985,4815416,2431,2.4,"0"
"49",5,3,15,4820831,4822911,2080,2.1,"20"
"512",5,5,65,4826125,4827928,1803,1.8,"20"
"524",5,6,42,4829526,4831885,2359,2.4,"0"
"532",5,4,56,4833561,4835642,2081,2.1,"0"
"543",5,2,54,4837851,4841708,3857,3.9,"0"
"553",5,8,4,4843182,4845658,2476,2.5,"0"
"572",5,4,16,4849337,4851233,1896,1.9,"0"
"592",5,7,35,4855422,4857344,1922,1.9,"20"
"604",5,4,80,4858880,4860769,1889,1.9,"0"
"613",5,2,14,4862424,4864961,2537,2.5,"0"
"632",5,6,10,4869536,4872339,2803,2.8,"0"
"652",5,7,3,4878425,4880842,2417,2.4,"20"
"673",5,1,37,4884357,4887926,3569,3.6,"20"
"683",5,1,69,4890039,4893217,3178,3.2,"20"
"694",5,4,64,4895164,4897352,2188,2.2,"0"
"703",5,3,31,4898749,4902277,3528,3.5,"20"
"723",5,8,60,4907038,4910731,3693,3.7,"0"
"734",5,7,11,4912727,4914653,1926,1.9,"20"
"753",5,5,33,4918650,4920641,1991,2,"20"
"763",5,7,67,4922152,4924659,2507,2.5,"20"
"773",5,2,46,4925947,4928442,2495,2.5,"0"
"784",5,6,18,4929723,4932318,2595,2.6,"0"
"803",5,2,6,4935980,4938830,2850,2.8,"0"
"822",5,8,76,4943543,4946595,3052,3.1,"0"
"832",5,3,79,4948012,4949946,1934,1.9,"20"
"843",5,8,36,4951646,4953437,1791,1.8,"0"
"852",5,8,68,4955360,4957114,1754,1.8,"0"
"864",5,5,1,4959310,4961260,1950,2,"20"
"883",5,7,59,4964458,4966387,1929,1.9,"20"
"893",5,3,55,4967967,4969989,2022,2,"20"
"902",5,6,34,4971991,4973795,1804,1.8,"0"
"913",5,3,39,4976709,4978667,1958,2,"20"
"922",5,2,22,4980311,4982135,1824,1.8,"0"
"942",5,2,38,4987398,4989490,2092,2.1,"0"
"953",5,5,49,4990964,4992821,1857,1.9,"20"
"963",5,3,71,4994558,4996275,1717,1.7,"20"
"974",5,4,72,4998633,5001267,2634,2.6,"0"
"983",5,1,77,5002913,5004914,2001,2,"20"
"994",5,7,75,5007080,5009585,2505,2.5,"20"
"1002",5,8,28,5011683,5014116,2433,2.4,"0"
"1023",5,5,25,5018646,5020973,2327,2.3,"20"
"1041",5,8,20,5024712,5027000,2288,2.3,"0"
"1063",5,6,66,5030953,5033405,2452,2.5,"0"
"1073",5,3,47,5035436,5037093,1657,1.7,"20"
"1082",5,1,13,5038535,5040612,2077,2.1,"20"
"1103",5,6,50,5043717,5045669,1952,2,"0"
"1112",5,1,29,5047609,5050021,2412,2.4,"20"
"1132",5,3,7,5053628,5055844,2216,2.2,"20"
"1152",5,6,26,5060696,5064802,4106,4.1,"0"
"1173",5,6,74,5068612,5072227,3615,3.6,"0"
"1182",5,4,48,5073829,5076054,2225,2.2,"0"
"1194",5,5,41,5077403,5080898,3495,3.5,"20"
"1203",5,7,27,5083059,5086720,3661,3.7,"20"
"1017",6,4,63,2749761,2753133,3372,3.4,"0"
"1113",6,5,32,2756588,2760864,4276,4.3,"20"
"135",6,4,79,2765617,2769166,3549,3.5,"0"
"144",6,1,28,2771159,2774119,2960,3,"20"
"163",6,3,30,2778751,2782204,3453,3.5,"20"
"183",6,8,43,2785818,2787821,2003,2,"0"
"195",6,5,64,2791091,2794586,3495,3.5,"20"
"203",6,2,21,2797008,2800212,3204,3.2,"0"
"223",6,1,44,2804189,2807066,2877,2.9,"20"
"234",6,7,50,2810693,2813226,2533,2.5,"20"
"244",6,8,51,2815757,2818396,2639,2.6,"0"
"253",6,6,41,2820040,2822285,2245,2.2,"0"
"264",6,5,80,2825997,2828747,2750,2.8,"20"
"274",6,2,77,2831519,2833992,2473,2.5,"0"
"281",6,6,33,2835343,2838008,2665,2.7,"0"
"295",6,5,8,2841022,2844294,3272,3.3,"20"
"315",6,1,36,2849851,2853193,3342,3.3,"20"
"323",6,3,70,2854562,2858647,4085,4.1,"20"
"334",6,5,40,2862449,2865060,2611,2.6,"20"
"344",6,7,2,2868203,2870739,2536,2.5,"20"
"364",6,5,48,2876226,2880500,4274,4.3,"20"
"372",6,7,42,2882557,2885945,3388,3.4,"20"
"384",6,6,65,2890139,2893050,2911,2.9,"0"
"393",6,3,22,2894835,2899697,4862,4.9,"20"
"414",6,2,5,2905727,2908335,2608,2.6,"0"
"434",6,3,62,2914766,2918664,3898,3.9,"20"
"443",6,8,27,2920679,2923892,3213,3.2,"0"
"465",6,1,60,2928189,2930973,2784,2.8,"20"
"473",6,2,37,2933960,2937521,3561,3.6,"0"
"484",6,5,24,2939767,2942893,3126,3.1,"20"
"504",6,2,61,2949012,2952072,3060,3.1,"0"
"513",6,5,56,2953961,2955866,1905,1.9,"20"
"525",6,4,39,2960748,2963696,2948,2.9,"0"
"533",6,3,46,2965385,2968917,3532,3.5,"20"
"544",6,2,13,2971965,2975301,3336,3.3,"0"
"562",6,2,53,2981115,2985503,4388,4.4,"0"
"573",6,8,3,2988722,2991428,2706,2.7,"0"
"593",6,4,55,2995436,2998423,2987,3,"0"
"605",6,8,59,3000702,3004254,3552,3.6,"0"
"614",6,1,52,3006802,3010363,3561,3.6,"20"
"622",6,3,54,3012595,3016031,3436,3.4,"20"
"633",6,1,12,3019225,3023324,4099,4.1,"20"
"653",6,8,19,3029851,3033811,3960,4,"0"
"674",6,4,23,3043495,3045787,2292,2.3,"0"
"695",6,1,68,3051546,3055671,4125,4.1,"20"
"704",6,6,9,3059419,3062068,2649,2.6,"0"
"724",6,6,49,3067268,3069239,1971,2,"0"
"735",6,5,16,3070504,3072599,2095,2.1,"20"
"754",6,1,4,3079617,3083297,3680,3.7,"20"
"774",6,3,38,3087994,3092062,4068,4.1,"20"
"785",6,8,35,3096960,3099884,2924,2.9,"0"
"793",6,4,31,3101262,3104612,3350,3.4,"0"
"813",6,3,78,3109565,3113389,3824,3.8,"20"
"823",6,3,14,3116480,3121946,5466,5.5,"20"
"844",6,8,75,3126256,3130115,3859,3.9,"0"
"853",6,7,18,3132236,3135385,3149,3.1,"20"
"873",6,6,1,3140292,3142564,2272,2.3,"0"
"894",6,8,67,3146824,3149435,2611,2.6,"0"
"903",6,7,10,3151359,3154386,3027,3,"20"
"923",6,4,15,3160961,3163946,2985,3,"0"
"943",6,2,29,3167564,3170474,2910,2.9,"0"
"964",6,7,66,3175097,3178231,3134,3.1,"20"
"975",6,4,7,3179710,3182321,2611,2.6,"0"
"995",6,8,11,3188467,3190766,2299,2.3,"0"
"1018",6,6,25,3194958,3197752,2794,2.8,"0"
"1033",6,7,26,3203892,3207378,3486,3.5,"20"
"1054",6,6,17,3212784,3216775,3991,4,"0"
"1074",6,3,6,3220433,3224442,4009,4,"20"
"1093",6,1,76,3230561,3234732,4171,4.2,"20"
"1104",6,7,74,3236044,3238841,2797,2.8,"20"
"1114",6,4,47,3241398,3243349,1951,2,"0"
"1124",6,1,20,3244757,3247447,2690,2.7,"20"
"1144",6,2,45,3252872,3254783,1911,1.9,"0"
"1153",6,6,73,3256470,3259217,2747,2.7,"0"
"1162",6,5,72,3263359,3265933,2574,2.6,"20"
"1174",6,7,34,3267304,3269756,2452,2.5,"20"
"1183",6,7,58,3271197,3273727,2530,2.5,"20"
"1195",6,4,71,3276601,3279131,2530,2.5,"0"
"1204",6,6,57,3282863,3285815,2952,3,"0"
"1212",6,2,69,3287233,3289380,2147,2.1,"0"
"1019",7,6,72,3026056,3031827,5771,5.8,"0"
"1115",7,1,35,3033551,3036552,3001,3,"20"
"125",7,1,51,3041893,3047800,5907,5.9,"20"
"136",7,2,52,3049698,3053905,4207,4.2,"0"
"145",7,8,42,3055597,3058534,2937,2.9,"0"
"153",7,3,13,3061422,3065291,3869,3.9,"20"
"175",7,2,36,3071388,3075948,4560,4.6,"0"
"184",7,2,60,3077650,3082165,4515,4.5,"0"
"196",7,2,4,3083557,3086079,2522,2.5,"0"
"214",7,2,68,3091969,3095556,3587,3.6,"0"
"224",7,4,30,3099383,3102968,3585,3.6,"0"
"245",7,3,29,3107869,3113851,5982,6,"20"
"265",7,4,38,3120454,3123168,2714,2.7,"0"
"275",7,6,56,3124892,3127649,2757,2.8,"0"
"282",7,4,46,3130305,3133343,3038,3,"0"
"296",7,3,37,3135586,3138200,2614,2.6,"20"
"303",7,6,16,3139819,3141854,2035,2,"0"
"324",7,2,44,3146684,3148440,1756,1.8,"0"
"335",7,8,26,3149972,3152737,2765,2.8,"0"
